team,total_points,gk_points,def_points,mid_points,fwd_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_latest_gw
Chelsea,2113,143,774,952,244,86,77,186,72,0,380,1,2,0,70,186,1890
Spurs,2061,160,615,1007,279,84,77,186,62,0,286,1,2,0,85,171,1786
Arsenal,1871,144,571,983,173,72,68,147,67,3,480,1,2,0,124,160,1958
Liverpool,1863,142,394,1177,150,77,68,136,54,0,462,0,1,2,72,167,1802
Man City,1855,137,498,926,294,75,76,139,71,4,429,1,2,2,64,182,1954
Man Utd,1806,165,653,673,315,54,48,192,77,2,318,1,1,1,85,163,2120
Everton,1726,157,641,630,298,58,58,140,69,2,477,1,1,2,97,144,1508
West Ham,1608,133,437,908,130,53,46,117,82,5,763,0,1,1,117,141,1927
Bournemouth,1499,131,448,749,171,50,48,111,53,3,720,5,3,2,124,126,1501
Southampton,1489,134,488,710,157,39,35,145,57,2,507,0,3,1,76,115,1661
Crystal Palace,1475,111,514,673,177,51,45,87,78,0,733,0,3,0,107,108,1900
Stoke,1421,139,479,613,190,37,33,128,71,2,618,5,2,1,126,104,1593
West Brom,1407,113,493,630,171,44,39,76,82,1,597,1,0,0,115,90,1374
Leicester,1388,126,390,502,370,46,42,106,72,1,691,2,2,0,131,88,1545
Burnley,1380,154,423,488,315,39,34,110,65,2,604,2,0,1,152,97,1483
Swansea,1379,119,405,599,256,45,39,94,56,0,770,5,0,1,121,88,1554
Middlesbrough,1352,138,468,508,238,27,26,119,79,1,607,0,0,0,116,102,1494
Watford,1256,115,452,412,277,39,31,76,83,5,740,2,0,1,123,86,1957
Sunderland,1098,136,324,375,263,25,20,69,79,4,725,2,0,0,176,70,1713
Hull,1070,118,305,446,201,28,28,63,62,4,797,5,0,2,136,59,1732
