team,total_points,gk_points,def_points,mid_points,fwd_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_latest_gw
Liverpool,2101,149,733,999,220,83,78,173,38,1,363,1,0,0,76,197,1798
Man City,2100,144,510,1168,278,100,90,185,60,4,385,1,5,0,76,162,1777
Leicester,1816,156,612,772,276,65,59,144,43,3,460,2,2,2,97,149,1571
Man Utd,1752,143,540,778,291,64,50,148,72,0,396,1,4,0,95,138,1948
Chelsea,1687,103,517,817,250,69,63,111,60,0,594,3,0,0,65,143,1674
Wolves,1655,153,646,534,322,49,47,146,55,2,431,1,0,2,90,144,1517
Sheffield Utd,1594,163,817,315,299,36,33,141,61,2,429,0,0,1,102,124,1442
Arsenal,1580,147,513,533,387,56,48,114,87,5,546,0,0,1,147,132,1915
Spurs,1547,156,408,823,160,56,54,92,77,3,499,2,1,2,139,128,1927
Burnley,1544,170,561,476,337,41,37,168,67,0,548,1,0,1,120,126,1586
Newcastle,1512,143,661,529,179,38,35,128,71,3,652,2,1,0,139,96,1784
Everton,1444,117,537,567,223,43,40,103,70,3,618,3,0,0,94,117,1700
West Ham,1433,124,400,789,120,49,44,80,62,1,682,3,0,1,129,98,1893
Southampton,1429,133,366,547,383,51,41,98,52,4,646,1,3,1,109,119,1797
Brighton,1389,135,467,551,236,35,30,98,57,2,594,3,1,0,117,108,1557
Aston Villa,1357,116,434,704,103,40,37,90,68,1,739,1,2,1,115,98,1539
Watford,1334,137,416,499,282,35,31,101,76,3,704,3,1,1,117,97,1513
Crystal Palace,1333,144,434,566,189,28,27,110,62,2,548,2,0,0,127,96,1521
Bournemouth,1265,127,364,486,288,38,37,58,73,3,715,0,0,1,130,86,1560
Norwich,1140,121,253,575,191,25,20,59,68,3,825,3,0,3,139,70,1523
