team,total_points,gk_points,def_points,mid_points,fwd_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_latest_gw
Man City,2124,169,789,1012,154,82,70,204,46,2,352,1,4,2,69,198,1996
Chelsea,1884,167,782,691,244,56,53,197,49,3,396,1,2,1,73,158,1589
Man Utd,1814,135,563,941,175,70,69,138,64,1,484,2,1,0,99,151,2245
Liverpool,1780,161,523,945,151,65,56,137,40,0,462,0,0,1,100,139,2031
Spurs,1760,149,517,838,256,66,61,139,53,2,495,3,0,0,114,142,1916
Aston Villa,1703,186,538,785,194,52,51,166,63,4,506,1,1,1,142,131,1740
Leeds,1691,168,609,630,284,60,57,127,61,1,594,2,0,1,148,131,1700
West Ham,1689,143,632,755,159,60,57,117,48,3,517,4,2,1,108,135,1644
Leicester,1679,128,533,720,298,64,59,120,61,0,550,2,2,0,88,144,1806
Arsenal,1677,144,543,825,165,53,51,133,47,5,429,4,0,1,96,139,1791
Everton,1585,141,594,545,305,45,45,136,59,2,528,1,1,0,113,132,1885
Brighton,1485,126,519,599,241,39,31,136,45,6,506,2,3,0,82,114,1899
Southampton,1443,124,407,615,297,47,44,97,52,3,748,1,1,1,113,111,1743
Wolves,1442,136,544,605,157,34,31,111,53,1,572,3,0,1,103,114,1930
Crystal Palace,1379,126,321,700,232,39,39,95,54,2,726,0,1,1,110,111,1610
Burnley,1377,150,472,444,311,32,25,123,48,0,605,1,0,0,126,99,1502
Newcastle,1372,128,343,632,269,44,36,85,61,3,682,3,1,1,133,98,1628
Fulham,1283,126,443,523,191,26,23,107,66,3,583,1,3,0,120,80,1740
West Brom,1225,142,401,470,212,33,29,66,51,4,836,3,0,1,170,73,1830
Sheffield Utd,1056,123,388,302,243,19,18,58,73,3,693,3,1,0,146,57,1651
