team,total_points,gk_points,def_points,mid_points,fwd_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_latest_gw
Man City,2051,144,579,953,375,92,85,144,44,1,363,1,1,0,60,195,1896
Arsenal,2035,143,636,1068,188,84,75,154,51,0,473,1,1,0,94,179,1810
Newcastle,1916,168,647,810,291,64,57,165,61,1,363,2,0,2,97,172,1672
Liverpool,1854,164,608,798,284,71,66,142,57,1,517,2,2,1,113,144,1977
Man Utd,1836,161,609,956,110,56,50,192,78,2,473,1,0,1,101,153,1969
Brighton,1771,147,486,873,265,67,63,137,59,0,583,6,0,2,85,149,1786
Brentford,1730,166,590,638,336,56,50,131,55,1,506,3,1,0,154,132,1717
Spurs,1682,129,669,567,317,68,58,115,75,3,693,1,1,1,111,134,2023
Aston Villa,1634,145,528,712,249,49,45,137,80,1,506,4,1,1,109,143,1937
Fulham,1550,149,430,785,186,52,46,100,80,1,583,2,4,1,146,112,1945
Chelsea,1472,142,504,631,195,37,33,107,77,3,517,3,0,0,116,114,2329
West Ham,1470,134,473,695,168,41,38,96,44,0,605,1,2,1,118,105,1478
Crystal Palace,1425,138,411,753,123,38,31,105,78,3,539,3,2,0,116,93,1745
Leicester,1409,120,409,646,234,49,46,80,59,2,748,5,3,1,115,79,1708
Wolves,1376,154,463,657,102,28,22,126,83,6,638,1,0,2,119,104,1780
Everton,1351,133,460,651,107,32,29,101,79,2,627,0,0,1,128,100,1872
Nott'm Forest,1340,133,420,481,306,36,32,90,84,0,748,0,3,2,115,100,2229
Bournemouth,1327,121,381,620,205,37,29,87,68,0,781,3,0,0,136,93,1915
Leeds,1275,97,334,651,193,45,42,56,84,3,858,2,2,0,110,72,1849
Southampton,1220,92,306,626,196,36,30,46,73,0,803,5,2,1,83,64,1955
