team,total_points,gk_points,def_points,mid_points,fwd_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_latest_gw
Liverpool,435,45,157,215,18,13,13,54,14,0,22,0,0,0,23,38,1695
Arsenal,363,36,124,160,43,14,12,33,17,2,66,0,0,0,25,35,1831
Chelsea,346,36,65,202,43,16,15,19,27,0,88,0,0,1,33,30,2066
Spurs,330,21,96,190,23,13,13,21,18,0,88,0,0,0,15,22,1870
Man City,329,21,88,153,67,17,13,10,17,0,88,1,0,0,16,38,1667
Brighton,310,19,61,167,63,13,11,21,15,0,110,0,0,0,15,26,2169
Man Utd,301,39,124,118,20,5,5,42,24,1,88,0,0,1,19,21,1559
Aston Villa,300,20,85,127,68,12,11,15,14,0,99,0,0,0,17,27,1813
Fulham,298,20,77,150,51,10,10,19,21,0,88,0,0,0,21,25,1395
Newcastle,293,31,94,148,20,8,7,21,17,1,77,1,1,0,31,28,1665
Brentford,278,19,59,172,28,13,12,3,12,0,143,1,0,0,33,22,1592
Nott'm Forest,277,26,95,113,43,7,6,23,19,2,66,0,0,0,19,27,1600
West Ham,264,17,70,134,43,9,9,11,16,0,121,0,0,0,18,18,1329
Leicester,255,21,72,135,27,9,8,11,19,0,132,1,0,0,33,17,1510
Bournemouth,243,20,51,149,23,8,7,8,19,0,110,0,1,0,31,11,1426
Everton,232,25,53,105,49,7,6,12,12,1,165,0,0,1,20,18,1379
Crystal Palace,216,21,85,78,32,4,5,11,15,0,110,0,0,0,22,10,1574
Ipswich,212,21,56,99,36,6,4,8,20,0,154,0,0,0,24,14,1515
Wolves,196,11,43,87,55,9,7,3,22,0,231,0,0,0,25,12,1838
Southampton,175,18,49,86,22,4,3,2,21,1,165,0,1,0,29,5,1679
