Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Erling Haaland,Man City,272,FWD,36,9,13,5,0,26,0,0,0,0,40
Harry Kane,Spurs,263,FWD,30,9,11,6,0,62,0,1,0,0,48
Mohamed Salah,Liverpool,239,MID,19,13,13,2,0,45,0,2,0,0,23
Martin Ødegaard,Arsenal,212,MID,15,8,13,4,0,38,0,0,0,0,30
Marcus Rashford,Man Utd,205,MID,17,7,13,2,0,39,0,0,0,0,21
Bukayo Saka,Arsenal,202,MID,14,12,12,6,0,42,0,1,0,0,19
Kieran Trippier,Newcastle,198,DEF,1,9,16,5,0,31,1,0,0,0,39
Gabriel Martinelli Silva,Arsenal,198,MID,15,9,14,3,0,33,0,0,0,0,18
Kevin De Bruyne,Man City,183,MID,7,18,10,1,0,23,0,0,0,0,26
Ivan Toney,Brentford,182,FWD,20,4,10,9,0,42,0,1,0,0,35
Bruno Borges Fernandes,Man Utd,176,MID,8,9,18,6,0,39,0,0,0,0,23
Ollie Watkins,Aston Villa,175,FWD,15,8,13,4,0,40,0,1,0,0,25
David Raya Martin,Brentford,166,GK,0,0,12,1,0,46,1,0,0,154,20
Alisson Ramses Becker,Liverpool,162,GK,0,1,14,1,0,43,0,0,1,107,15
David De Gea Quintana,Man Utd,161,GK,0,0,17,0,0,43,0,0,1,101,5
Pascal Groß,Brighton,159,MID,9,8,11,7,0,51,1,0,0,0,14
Eberechi Eze,Crystal Palace,159,MID,10,5,9,3,0,35,0,0,0,0,21
Miguel Almirón Rejala,Newcastle,158,MID,11,4,15,2,0,22,0,0,0,0,15
Nick Pope,Newcastle,157,GK,0,0,14,3,1,32,0,0,2,87,14
Callum Wilson,Newcastle,157,FWD,18,6,10,4,0,16,0,0,0,0,20
Benjamin White,Arsenal,156,DEF,2,5,15,5,0,35,0,0,0,0,12
Trent Alexander-Arnold,Liverpool,156,DEF,2,11,10,5,0,44,0,0,0,0,21
Leandro Trossard,Arsenal,154,MID,8,13,8,1,0,38,0,0,0,0,8
Granit Xhaka,Arsenal,153,MID,7,8,13,4,0,35,0,0,0,0,15
Son Heung-min,Spurs,152,MID,10,6,9,2,0,55,0,0,0,0,8
Bryan Mbeumo,Brentford,150,FWD,9,9,10,5,0,39,0,0,0,0,19
José Malheiro de Sá,Wolves,148,GK,0,0,11,2,0,55,0,0,2,108,18
Solly March,Brighton,147,MID,6,10,10,2,0,40,0,0,0,0,16
Gabriel dos Santos Magalhães,Arsenal,146,DEF,3,0,14,5,0,43,0,0,0,0,15
Jarrod Bowen,West Ham,145,MID,6,9,9,2,0,50,0,1,0,0,9
Morgan Gibbs-White,Nott'm Forest,145,MID,5,12,8,6,0,61,0,0,0,0,11
Aaron Ramsdale,Arsenal,143,GK,0,0,14,1,0,43,0,0,0,94,9
Ben Mee,Brentford,143,DEF,3,2,12,2,0,40,0,0,0,0,11
