Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Mohamed Salah,Liverpool,265,MID,23,14,17,1,0,22,0,1,0,0,29
Heung-Min Son,Spurs,258,MID,23,10,18,2,0,30,0,0,0,0,27
Trent Alexander-Arnold,Liverpool,208,DEF,2,12,18,2,0,22,0,0,0,0,32
Jarrod Bowen,West Ham,206,MID,12,17,8,6,0,46,0,0,0,0,24
JoÃ£o Pedro Cavaco Cancelo,Man City,201,DEF,1,11,19,7,0,25,0,0,0,0,27
Kevin De Bruyne,Man City,196,MID,15,8,13,2,0,22,0,0,0,0,33
Harry Kane,Spurs,192,FWD,17,11,14,5,0,40,0,0,0,0,23
Andrew Robertson,Liverpool,186,DEF,3,11,17,5,1,20,0,0,0,0,23
Virgil van Dijk,Liverpool,183,DEF,3,3,21,3,0,21,0,0,0,0,13
Sadio ManÃ©,Liverpool,183,MID,16,5,17,5,0,24,0,0,0,0,10
James Maddison,Leicester,181,MID,12,11,5,3,0,41,0,0,0,0,24
Bukayo Saka,Arsenal,179,MID,11,9,13,6,0,39,0,0,0,0,18
Alisson Ramses Becker,Liverpool,176,GK,0,1,20,0,0,24,1,0,0,75,15
Diogo Jota,Liverpool,175,MID,15,7,14,3,0,19,0,0,0,0,8
Joel Matip,Liverpool,170,DEF,3,3,17,2,0,21,0,0,0,0,20
Mason Mount,Chelsea,169,MID,11,11,11,4,0,25,0,0,0,0,16
Raheem Sterling,Man City,163,MID,13,7,13,1,0,17,0,1,0,0,15
Aymeric Laporte,Man City,160,DEF,4,2,18,5,1,24,0,0,0,0,8
Cristiano Ronaldo dos Santos Aveiro,Man Utd,159,FWD,18,3,8,8,0,41,0,0,0,0,29
James Ward-Prowse,Southampton,159,MID,10,5,7,3,1,65,0,0,0,0,21
Hugo Lloris,Spurs,158,GK,0,0,16,2,0,40,0,0,0,97,11
Bernardo Mota Veiga de Carvalho e Silva,Man City,155,MID,8,8,16,6,0,23,0,0,0,0,15
Ederson Santana de Moraes,Man City,155,GK,0,0,20,3,0,26,0,0,0,60,4
Bruno Miguel Borges Fernandes,Man Utd,151,MID,10,7,8,10,0,54,0,2,0,0,15
Antonio RÃ¼diger,Chelsea,150,DEF,3,3,15,9,0,27,0,0,0,0,10
Wilfried Zaha,Crystal Palace,150,MID,14,2,11,4,1,34,0,2,0,0,11
Matthew Cash,Aston Villa,147,DEF,4,3,13,8,0,50,0,0,0,0,11
JosÃ© Malheiro de SÃ¡,Wolves,146,GK,0,1,11,3,0,40,1,0,0,121,11
Gabriel MagalhÃ£es,Arsenal,146,DEF,5,0,13,6,1,38,0,0,0,0,16
Raphael Dias Belloli,Leeds,145,MID,11,4,5,7,0,68,0,0,0,0,14
Teemu Pukki,Norwich,142,FWD,11,3,6,4,0,79,0,0,0,0,19
RÃºben Santos Gato Alves Dias,Man City,141,DEF,2,5,14,5,0,18,0,0,0,0,12
Leandro Trossard,Brighton,141,MID,8,4,11,2,0,33,0,0,0,0,16
Reece James,Chelsea,141,DEF,5,9,7,4,1,22,1,0,0,0,26
Michail Antonio,West Ham,140,FWD,10,10,7,6,1,43,0,1,0,0,14
Conor Gallagher,Crystal Palace,140,MID,8,6,11,10,0,38,0,0,0,0,16
Ivan Toney,Brentford,139,FWD,12,5,8,8,0,47,0,0,0,0,19
Conor Coady,Wolves,138,DEF,4,0,11,4,0,43,0,0,0,0,10
SaÃ¯d Benrahma,West Ham,138,MID,8,6,9,0,0,27,0,0,0,0,15
Phil Foden,Man City,137,MID,9,6,13,1,0,16,0,0,0,0,11
Harvey Barnes,Leicester,137,MID,6,12,8,2,0,30,0,0,0,0,10
Lukasz Fabianski,West Ham,136,GK,0,0,8,2,0,50,0,0,3,114,9
Riyad Mahrez,Man City,135,MID,11,7,7,0,0,14,0,1,0,0,12
Aaron Ramsdale,Arsenal,135,GK,0,0,12,1,0,39,0,0,0,90,14
Emmanuel Dennis,Watford,134,FWD,10,7,3,7,1,60,0,0,0,0,21
Jamie Vardy,Leicester,133,FWD,15,3,4,2,0,27,1,0,0,0,24
Eric Dier,Spurs,132,DEF,0,1,16,1,0,30,1,0,0,0,7
David de Gea,Man Utd,132,GK,0,0,8,0,0,57,0,0,2,127,7
Martin Ãdegaard,Arsenal,131,MID,7,4,11,4,0,39,0,0,0,0,9
Ollie Watkins,Aston Villa,131,FWD,11,3,10,7,0,48,0,0,0,0,17
Kasper Schmeichel,Leicester,131,GK,0,0,7,1,0,58,0,0,2,131,12
Edouard Mendy,Chelsea,130,GK,0,0,14,3,0,31,0,0,0,73,3
Nick Pope,Burnley,130,GK,0,0,9,1,0,47,0,0,0,120,12
Thiago Emiliano da Silva,Chelsea,130,DEF,3,1,11,2,0,28,0,0,0,0,14
Emiliano MartÃ­nez,Aston Villa,129,GK,0,0,11,4,0,48,0,0,1,95,7
Marcos Alonso,Chelsea,128,DEF,4,5,9,8,0,22,0,0,0,0,14
Rodrigo Hernandez,Man City,127,MID,7,2,17,5,0,22,0,0,0,0,9
Marc Cucurella,Brighton,126,DEF,1,1,11,6,0,39,0,0,0,0,21
Robert SÃ¡nchez,Brighton,126,GK,0,0,11,3,1,42,0,0,0,101,8
Richarlison de Andrade,Everton,125,FWD,10,6,7,9,0,46,0,0,0,0,19
Emile Smith Rowe,Arsenal,125,MID,10,2,8,1,0,28,0,0,0,0,9
Ilkay GÃ¼ndogan,Man City,124,MID,8,5,14,1,0,10,0,0,0,0,10
Joachim Andersen,Crystal Palace,124,DEF,0,4,12,4,0,37,1,0,0,0,14
Marc GuÃ©hi,Crystal Palace,123,DEF,2,1,11,4,0,43,0,0,0,0,8
Pontus Jansson,Brentford,122,DEF,3,4,8,7,0,56,0,0,0,0,13
Youri Tielemans,Leicester,120,MID,6,4,6,3,0,42,0,0,0,0,14
Gabriel Fernando de Jesus,Man City,120,FWD,8,8,11,1,0,15,0,0,0,0,16
Bryan Mbeumo,Brentford,119,MID,4,7,9,4,0,47,0,0,0,0,6
Vicente Guaita,Crystal Palace,119,GK,0,0,11,2,0,33,0,0,0,83,11
Tyrone Mings,Aston Villa,118,DEF,1,4,11,11,0,49,0,0,0,0,12
Jack Harrison,Leeds,117,MID,8,1,3,3,0,68,0,0,0,0,12
Pablo Fornals,West Ham,117,MID,6,4,8,4,0,38,0,0,0,0,5
Allan Saint-Maximin,Newcastle,116,FWD,5,7,9,6,0,54,0,0,0,0,15
Jordan Pickford,Everton,116,GK,0,0,7,2,0,58,0,0,0,117,12
Aaron Cresswell,West Ham,115,DEF,2,4,7,3,0,38,0,0,0,0,17
Tomas Soucek,West Ham,114,MID,5,1,6,3,0,46,0,0,0,0,14
Kai Havertz,Chelsea,112,MID,8,4,10,3,0,18,0,0,0,0,5
