Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Bruno Miguel Borges Fernandes,Man Utd,244,MID,18,14,13,6,0,36,0,1,0,0,36
Harry Kane,Spurs,242,FWD,23,14,12,1,0,39,0,0,0,0,40
Mohamed Salah,Liverpool,231,MID,22,6,11,0,0,41,0,0,0,0,21
Heung-Min Son,Spurs,228,MID,17,11,13,0,0,36,0,0,0,0,26
Patrick Bamford,Leeds,194,FWD,17,11,10,3,0,50,0,0,0,0,26
Jamie Vardy,Leicester,187,FWD,15,14,8,1,0,44,0,1,0,0,23
Emiliano MartÃ­nez,Aston Villa,186,GK,0,0,15,1,0,46,0,0,1,142,27
Sadio ManÃ©,Liverpool,176,MID,11,11,12,3,0,28,0,0,0,0,14
Marcus Rashford,Man Utd,174,MID,11,11,12,4,0,39,0,0,0,0,9
Stuart Dallas,Leeds,171,DEF,8,3,12,7,0,53,0,0,0,0,15
Ollie Watkins,Aston Villa,168,FWD,14,9,14,2,1,46,0,1,0,0,18
Dominic Calvert-Lewin,Everton,165,FWD,16,6,11,3,0,39,0,0,0,0,21
Andrew Robertson,Liverpool,161,DEF,1,8,12,2,0,42,0,0,0,0,19
Jack Harrison,Leeds,160,MID,8,10,11,2,0,45,0,0,0,0,15
Trent Alexander-Arnold,Liverpool,160,DEF,2,8,10,2,0,40,0,0,0,0,26
Ederson Santana de Moraes,Man City,160,GK,0,1,19,3,0,28,0,0,1,66,3
Ilkay GÃ¼ndogan,Man City,157,MID,13,4,12,1,0,16,0,1,0,0,22
James Ward-Prowse,Southampton,156,MID,8,7,9,5,0,68,0,1,0,0,17
Raheem Sterling,Man City,154,MID,10,9,14,4,0,23,0,1,0,0,10
Illan Meslier,Leeds,154,GK,0,0,11,0,0,52,1,0,1,140,20
Matheus Pereira,West Brom,153,MID,11,7,6,2,1,58,0,0,0,0,15
Aaron Cresswell,West Ham,153,DEF,0,11,11,3,0,41,0,0,0,0,21
Hugo Lloris,Spurs,149,GK,0,0,12,0,0,45,0,0,0,114,13
Mason Mount,Chelsea,147,MID,6,7,14,2,0,32,0,0,0,0,16
Tomas Soucek,West Ham,147,MID,10,2,11,7,1,47,1,0,0,0,16
Riyad Mahrez,Man City,145,MID,9,8,11,0,0,22,0,0,0,0,15
Nick Pope,Burnley,144,GK,0,0,11,1,0,37,0,0,0,114,20
Aaron Wan-Bissaka,Man Utd,144,DEF,2,5,13,3,0,36,0,0,0,0,11
RÃºben Santos Gato Alves Dias,Man City,142,DEF,1,1,17,4,0,21,1,0,0,0,12
Roberto Firmino,Liverpool,141,FWD,9,8,10,2,0,39,0,0,0,0,15
Kevin De Bruyne,Man City,141,MID,6,12,12,1,0,17,0,1,0,0,19
Jarrod Bowen,West Ham,141,MID,8,6,9,0,0,33,0,0,0,0,8
Alisson Ramses Becker,Liverpool,140,GK,1,0,10,1,0,32,0,0,1,84,13
Sam Johnstone,West Brom,140,GK,0,1,6,1,0,74,0,0,1,166,19
Edouard Mendy,Chelsea,140,GK,0,0,16,2,0,25,0,0,1,57,8
Benjamin Chilwell,Chelsea,139,DEF,3,6,12,3,0,23,0,0,0,0,11
JoÃ£o Pedro Cavaco Cancelo,Man City,138,DEF,2,4,14,5,1,21,0,0,0,0,18
Chris Wood,Burnley,138,FWD,12,3,9,0,0,43,0,0,0,0,16
Matt Targett,Aston Villa,138,DEF,0,4,16,7,0,44,0,0,0,0,9
Che Adams,Southampton,137,FWD,9,7,7,1,0,51,0,0,0,0,16
Wilfried Zaha,Crystal Palace,136,MID,11,4,6,6,0,52,0,0,0,0,11
Jack Grealish,Aston Villa,135,MID,6,12,12,6,0,28,0,0,0,0,13
Bertrand TraorÃ©,Aston Villa,135,MID,7,7,11,1,0,31,0,0,0,0,7
Phil Foden,Man City,135,MID,9,8,6,0,0,16,0,0,0,0,17
Callum Wilson,Newcastle,134,FWD,12,6,5,2,0,37,0,0,0,0,22
Raphael Dias Belloli,Leeds,133,MID,6,10,9,3,0,34,0,0,0,0,11
Lukasz Fabianski,West Ham,133,GK,0,0,10,2,0,44,0,0,1,102,11
Youri Tielemans,Leicester,133,MID,6,4,11,6,0,50,0,0,0,0,11
James Maddison,Leicester,133,MID,8,7,10,4,0,28,0,0,0,0,12
Leandro Trossard,Brighton,132,MID,5,6,12,2,0,30,0,0,0,0,15
Rui Pedro dos Santos PatrÃ­cio,Wolves,132,GK,0,0,10,1,0,51,0,0,1,100,12
