Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Kasper Schmeichel 213,Leicester,120,GK,0,0,10,3,0,48,0,0,0,90,6
Aaron Wan-Bissaka 145,Crystal Palace,120,DEF,0,3,12,4,1,47,0,0,0,0,18
João Filipe Iria Santos Moutinho 475,Wolves,119,MID,1,8,9,4,0,39,0,0,0,0,13
Rui Pedro dos Santos Patrício 454,Wolves,118,GK,0,0,8,0,0,46,0,0,0,97,4
Benjamin Chilwell 219,Leicester,118,DEF,0,5,10,4,0,43,0,0,0,0,8
Michail Antonio 415,West Ham,118,MID,6,8,7,3,0,30,0,0,0,0,6
Kieran Trippier 357,Spurs,118,DEF,1,5,10,2,0,23,1,0,0,0,16
Marko Arnautovic 417,West Ham,117,FWD,10,5,4,3,0,34,0,0,0,0,15
Antonio Rüdiger 118,Chelsea,116,DEF,1,2,12,7,0,35,0,0,0,0,9
Troy Deeney 396,Watford,116,FWD,9,5,5,4,1,44,0,0,0,0,13
N'Golo Kanté 126,Chelsea,116,MID,4,4,14,3,0,38,0,0,0,0,3
Shane Duffy 49,Brighton,115,DEF,5,2,7,4,1,55,0,0,0,0,9
Romelu Lukaku 306,Man Utd,115,FWD,12,1,4,4,0,38,0,0,0,0,14
Ilkay Gündogan 274,Man City,113,MID,6,3,13,3,0,15,0,0,0,0,10
Kurt Zouma 526,Everton,112,DEF,2,2,10,3,1,39,0,0,0,0,12
Pedro Rodríguez Ledesma 125,Chelsea,112,MID,8,2,7,2,0,19,0,0,0,0,12
Ashley Westwood 80,Burnley,111,MID,2,8,7,5,0,55,0,0,0,0,10
Matt Ritchie 317,Newcastle,110,MID,2,8,10,9,0,40,0,1,0,0,7
Georginio Wijnaldum 252,Liverpool,108,MID,3,1,18,3,0,16,0,0,0,0,9
Willian Borges Da Silva 124,Chelsea,108,MID,3,7,11,2,0,25,0,0,0,0,6
Toby Alderweireld 353,Spurs,107,DEF,0,0,12,3,0,31,1,0,0,0,7
Víctor Camarasa 504,Cardiff,106,MID,5,4,9,6,0,53,0,0,0,0,5
Bernd Leno 2,Arsenal,106,GK,0,0,6,0,0,42,0,0,0,105,5
Rúben Diogo da Silva Neves 433,Wolves,104,MID,4,3,8,8,0,43,0,0,0,0,7
Mathew Ryan 47,Brighton,104,GK,0,0,6,2,0,55,0,0,0,97,11
Jonathan Castro Otto 483,Wolves,103,DEF,1,3,8,6,0,39,0,0,0,0,9
Riyad Mahrez 223,Man City,102,MID,7,4,4,0,0,9,0,1,0,0,14
Theo Walcott 164,Everton,101,MID,5,3,6,1,0,33,0,0,0,0,4
James Milner 254,Liverpool,101,MID,5,5,9,5,1,13,0,0,0,0,12
Mark Noble 411,West Ham,99,MID,5,5,7,6,1,31,0,0,0,0,5
Alex Iwobi 15,Arsenal,99,MID,3,8,4,0,0,32,0,0,0,0,3
Jonas Lössl 191,Huddersfield,99,GK,0,1,5,1,0,54,0,0,1,88,9
Henrikh Mkhitaryan 18,Arsenal,98,MID,6,4,3,1,0,26,0,0,0,0,12
Bruno Ecuele Manga 92,Cardiff,97,DEF,0,1,10,0,0,67,0,0,0,0,4
James Tarkowski 72,Burnley,97,DEF,3,2,7,8,0,63,0,0,0,0,7
Sean Morrison 90,Cardiff,97,DEF,1,4,9,6,0,63,0,0,0,0,5
Jorge Luiz Frello Filho 459,Chelsea,96,MID,2,0,16,8,0,37,0,0,0,0,4
Jamaal Lascelles 312,Newcastle,95,DEF,0,1,10,4,0,36,0,0,0,0,8
Sol Bamba 91,Cardiff,95,DEF,4,1,7,7,0,52,0,0,0,0,11
Conor Coady 430,Wolves,94,DEF,0,0,9,5,0,46,3,0,0,0,6
James Ward-Prowse 338,Southampton,94,MID,7,0,3,4,0,41,1,0,0,0,15
Bamidele Alli 365,Spurs,94,MID,5,4,8,4,0,21,0,0,0,0,8
Ryan Sessegnon 184,Fulham,94,MID,2,7,3,0,0,60,0,0,0,0,3
Solomon March 58,Brighton,94,MID,1,6,6,1,0,40,0,0,0,0,5
José Holebas 378,Watford,93,DEF,3,7,5,12,1,41,0,0,0,0,10
Craig Cathcart 376,Watford,93,DEF,3,0,6,2,0,54,2,0,0,0,5
Fabian Schär 482,Newcastle,93,DEF,4,1,7,12,0,23,0,0,0,0,9
Declan Rice 406,West Ham,92,DEF,2,0,6,4,0,47,0,0,0,0,9
Dominic Calvert-Lewin 175,Everton,92,FWD,6,5,8,3,0,26,0,0,0,0,3
Johann Berg Gudmundsson 76,Burnley,92,MID,3,7,5,2,0,39,0,0,0,0,6
Harry Maguire 220,Leicester,92,DEF,3,1,6,6,1,41,0,0,0,0,10
Aaron Ramsey 14,Arsenal,91,MID,4,6,9,0,0,13,0,0,0,0,4
Jeffrey Schlupp 141,Crystal Palace,91,DEF,4,3,4,1,0,26,0,0,0,0,3
Luke Shaw 286,Man Utd,91,DEF,1,5,6,11,0,39,0,0,0,0,11
Lewis Dunk 48,Brighton,91,DEF,2,1,7,5,1,56,0,0,0,0,6
