Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Cole Palmer,Chelsea,244,MID,22,13,7,7,0,46,0,0,0,0,32
Phil Foden,Man City,230,MID,19,8,14,2,0,27,0,0,0,0,31
Ollie Watkins,Aston Villa,228,FWD,19,18,7,4,0,56,0,0,0,0,29
Bukayo Saka,Arsenal,226,MID,16,12,16,4,0,27,0,0,0,0,29
Erling Haaland,Man City,217,FWD,27,8,11,1,0,25,0,1,0,0,29
Son Heung-min,Spurs,213,MID,17,10,8,1,0,51,1,0,0,0,25
Mohamed Salah,Liverpool,211,MID,18,12,8,2,0,30,0,2,0,0,24
Martin Ødegaard,Arsenal,186,MID,8,11,19,2,0,23,0,0,0,0,26
Anthony Gordon,Newcastle,183,MID,11,16,12,10,1,48,0,0,0,0,14
Benjamin White,Arsenal,182,DEF,4,5,18,8,0,26,0,0,0,0,14
Jarrod Bowen,West Ham,182,MID,16,6,5,2,0,63,0,0,0,0,14
Kai Havertz,Arsenal,180,MID,13,10,16,11,0,22,0,0,0,0,15
Dominic Solanke,Bournemouth,175,FWD,19,3,10,3,0,61,0,1,0,0,20
Alexander Isak,Newcastle,172,FWD,21,4,7,1,0,41,0,1,0,0,23
Bruno Borges Fernandes,Man Utd,166,MID,10,9,7,9,0,52,0,1,0,0,24
Declan Rice,Arsenal,165,MID,7,9,17,5,0,28,0,0,0,0,17
Jean-Philippe Mateta,Crystal Palace,165,FWD,16,7,8,3,0,44,0,0,0,0,22
William Saliba,Arsenal,164,DEF,2,1,18,4,0,29,0,0,0,0,13
Rodrigo Hernandez,Man City,159,MID,8,10,14,8,1,26,0,0,0,0,19
Julián Álvarez,Man City,158,FWD,11,11,12,2,0,24,0,0,0,0,17
Bruno Guimarães Rodriguez Moura,Newcastle,153,MID,7,9,10,8,0,60,0,0,0,0,15
Jordan Pickford,Everton,153,GK,0,0,13,5,0,51,1,0,0,121,22
Pascal Groß,Brighton,153,MID,4,11,7,6,0,50,0,0,0,0,29
Gabriel dos Santos Magalhães,Arsenal,149,DEF,3,1,16,4,0,26,1,0,0,0,8
Douglas Luiz Soares de Paulo,Aston Villa,148,MID,9,5,6,12,0,57,0,0,0,0,25
Leon Bailey,Aston Villa,148,MID,10,11,5,5,0,32,0,0,0,0,11
James Ward-Prowse,West Ham,146,MID,7,7,5,4,0,65,0,0,0,0,19
Carlton Morris,Luton,146,FWD,11,6,3,4,0,72,0,0,0,0,18
Nicolas Jackson,Chelsea,142,FWD,14,6,9,10,0,48,0,0,0,0,12
Moussa Diaby,Aston Villa,142,MID,6,11,8,1,0,40,0,0,0,0,10
Morgan Gibbs-White,Nott'm Forest,142,MID,5,12,5,9,0,59,0,0,0,0,13
Luis Díaz,Liverpool,142,MID,8,7,7,3,0,33,0,0,0,0,9
Bernardo Veiga de Carvalho e Silva,Man City,141,MID,6,9,10,8,0,26,0,0,0,0,20
Leandro Trossard,Arsenal,138,MID,12,2,12,2,0,10,0,0,0,0,11
Mohammed Kudus,West Ham,137,MID,8,9,3,6,0,61,0,0,0,0,13
Eberechi Eze,Crystal Palace,136,MID,11,5,8,3,0,28,0,0,0,0,11
Pedro Porro,Spurs,136,DEF,3,8,7,3,0,54,0,0,0,0,20
Matheus Santos Carneiro Da Cunha,Wolves,135,FWD,12,7,6,9,0,46,0,0,0,0,15
David Raya Martin,Arsenal,135,GK,0,0,16,2,0,24,0,0,1,46,6
Bernd Leno,Fulham,133,GK,0,0,10,3,0,61,1,0,0,134,15
André Onana,Man Utd,133,GK,0,0,9,5,0,58,0,0,0,149,10
Darwin Núñez Ribeiro,Liverpool,132,FWD,11,11,6,9,0,25,0,1,0,0,9
Brennan Johnson,Spurs,131,MID,5,12,5,3,0,42,0,0,0,0,9
Alejandro Garnacho,Man Utd,131,MID,7,7,8,4,0,39,0,0,0,0,7
Chris Wood,Nott'm Forest,131,FWD,14,1,2,0,0,34,0,0,0,0,22
Yoane Wissa,Brentford,131,FWD,12,4,11,7,0,40,0,0,0,0,15
Dejan Kulusevski,Spurs,130,MID,8,3,8,7,0,46,0,0,0,0,14
Conor Gallagher,Chelsea,129,MID,5,8,8,7,1,56,0,0,0,0,10
Bryan Mbeumo,Brentford,127,MID,9,7,5,2,0,31,0,0,0,0,12
Andreas Hoelgebaum Pereira,Fulham,127,MID,3,9,14,6,0,40,0,0,0,0,7
Hwang Hee-chan,Wolves,125,MID,12,3,3,6,0,37,0,0,0,0,10
Michael Olise,Crystal Palace,125,MID,10,6,3,0,0,19,0,0,0,0,21
Jarrad Branthwaite,Everton,124,DEF,3,1,12,8,0,44,0,0,0,0,10
Dwight McNeil,Everton,124,MID,3,8,12,2,0,39,0,0,0,0,8
Raheem Sterling,Chelsea,123,MID,8,8,5,7,0,38,0,0,0,0,8
Fabian Schär,Newcastle,123,DEF,4,3,9,5,0,58,0,0,0,0,12
Joško Gvardiol,Man City,123,DEF,4,2,9,3,0,23,0,0,0,0,12
Kyle Walker,Man City,123,DEF,0,5,10,2,0,29,0,0,0,0,13
Richarlison de Andrade,Spurs,122,MID,11,4,7,3,0,18,0,0,0,0,7
Trent Alexander-Arnold,Liverpool,122,DEF,3,5,8,6,0,28,0,0,0,0,19
Joachim Andersen,Crystal Palace,121,DEF,2,3,10,7,0,58,0,0,0,0,12
Tyrick Mitchell,Crystal Palace,119,DEF,2,3,10,6,0,55,0,0,0,0,10
Mark Flekken,Brentford,119,GK,0,1,7,3,0,63,0,0,0,115,12
Anthony Elanga,Nott'm Forest,119,MID,5,9,2,1,0,47,0,0,0,0,5
John McGinn,Aston Villa,119,MID,6,5,7,9,1,54,0,0,0,0,9
Gabriel Martinelli Silva,Arsenal,118,MID,6,5,10,1,0,23,0,0,0,0,6
