name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points
Matt_Phillips,West Brom,115,MID,4,9,6,2,0,28,0,0,0,0,12
Paul_Pogba,Man Utd,115,MID,5,4,13,7,0,21,0,0,0,0,14
Nacho_Monreal,Arsenal,115,DEF,0,3,11,5,0,43,0,0,0,0,9
Willian_Borges Da Silva,Chelsea,114,MID,8,3,6,3,0,19,0,0,0,0,13
Michael_Keane,Burnley,113,DEF,2,1,10,4,0,49,0,0,0,0,10
Ben_Foster,West Brom,113,GK,0,0,6,2,0,51,0,0,0,115,4
Heurelho_Gomes,Watford,113,GK,0,0,7,1,0,64,1,0,1,117,6
Steve_Cook,Bournemouth,112,DEF,2,0,10,5,0,67,1,0,0,0,17
Simon_Mignolet,Liverpool,110,GK,0,0,9,0,0,30,0,0,2,52,7
Nacer_Chadli,West Brom,110,MID,5,6,6,2,0,32,0,0,0,0,8
Kasper_Schmeichel,Leicester,109,GK,0,0,8,1,0,47,0,0,0,113,10
Andre_Gray,Burnley,108,FWD,9,3,8,2,0,33,0,0,0,0,10
Dusan_Tadic,Southampton,108,MID,3,7,13,4,0,29,0,1,0,0,4
Junior_Stanislas,Bournemouth,107,MID,7,6,4,1,0,29,0,0,0,0,13
Dejan_Lovren,Liverpool,106,DEF,2,1,11,6,0,31,0,0,0,0,6
Bruno_Martins Indi,Stoke,106,DEF,1,0,11,4,0,50,0,0,0,0,9
Lee_Grant,Stoke,106,GK,0,0,9,1,0,34,0,0,0,91,9
Leroy_Sané,Man City,105,MID,5,7,9,4,0,15,0,0,0,0,8
Victor_Moses,Chelsea,105,MID,3,3,17,4,0,15,0,0,0,0,6
Eric_Bailly,Man Utd,105,DEF,0,0,13,4,0,15,0,0,0,0,14
Nemanja_Matic,Chelsea,105,MID,1,8,15,4,0,24,0,0,0,0,1
Adam_Smith,Bournemouth,104,DEF,1,5,8,6,0,61,1,0,0,0,12
Emre_Can,Liverpool,104,MID,5,2,9,6,0,28,0,0,0,0,12
Phil_Jagielka,Everton,104,DEF,3,3,6,4,1,32,0,0,0,0,16
Christian_Fuchs,Leicester,104,DEF,2,4,8,10,0,57,0,0,0,0,10
Victor_Wanyama,Spurs,103,MID,4,2,12,10,0,25,0,0,0,0,7
Darren_Fletcher,West Brom,103,MID,2,3,8,0,0,45,0,0,0,0,2
Erik_Pieters,Stoke,103,DEF,0,2,10,5,0,50,0,0,0,0,9
Craig_Dawson,West Brom,102,DEF,4,0,6,10,0,50,0,0,0,0,6
Cédric_Soares,Southampton,102,DEF,0,3,11,7,0,36,0,0,0,0,11
Jordan_Pickford,Sunderland,102,GK,0,0,4,0,0,50,0,0,0,135,9
Winston_Reid,West Ham,102,DEF,2,3,9,8,1,48,0,0,0,0,16
Juan_Mata,Man Utd,102,MID,6,3,10,3,0,16,1,0,0,0,14
Víctor_Valdés,Middlesbrough,102,GK,0,0,8,1,0,36,0,0,0,79,10
Ryan_Fraser,Bournemouth,100,MID,3,9,7,3,0,32,0,0,0,0,8
Nicolás_Otamendi,Man City,100,DEF,1,2,9,9,0,28,0,0,0,0,10
Chris_Brunt,West Brom,99,DEF,3,4,4,5,0,37,0,0,0,0,11
Jose_Fonte,West Ham,98,DEF,0,0,11,4,0,46,0,0,0,0,10
Daley_Blind,Man Utd,98,DEF,1,2,9,2,0,17,0,0,0,0,14
Patrick_van Aanholt,Crystal Palace,98,DEF,5,1,5,3,0,53,0,0,0,0,9
Ander_Herrera,Man Utd,97,MID,1,6,13,5,1,18,0,0,0,0,11
Joel_Matip,Liverpool,97,DEF,1,0,9,3,0,25,0,0,0,0,7
Divock_Origi,Liverpool,96,FWD,7,4,7,0,0,18,0,0,0,0,8
Anthony_Martial,Man Utd,95,MID,4,6,9,2,0,13,0,0,0,0,9
Marc_Albrighton,Leicester,95,MID,2,6,8,5,0,47,0,0,0,0,3
Aleksandar_Kolarov,Man City,95,DEF,1,1,9,6,0,27,1,0,0,0,7
Leroy_Fer,Swansea,95,MID,6,2,4,9,0,49,0,0,0,0,5
Ryan_Shawcross,Stoke,94,DEF,1,2,9,6,0,53,2,0,0,0,6
Alfie_Mawson,Swansea,94,DEF,4,0,7,1,0,45,2,0,0,0,9
Ben_Mee,Burnley,94,DEF,1,2,9,5,0,49,2,0,0,0,6
Eric_Dier,Spurs,93,MID,2,0,16,6,0,24,0,0,0,0,4
James_McArthur,Crystal Palace,93,MID,5,3,3,5,0,39,0,0,0,0,8
Jason_Puncheon,Crystal Palace,92,MID,0,6,7,9,0,53,0,0,0,0,6
James_Ward-Prowse,Southampton,92,MID,4,4,9,4,0,26,0,0,0,0,5
Wayne_Hennessey,Crystal Palace,92,GK,0,0,7,1,0,46,0,0,0,83,4
George_Boyd,Burnley,92,MID,2,2,9,3,0,45,0,0,0,0,2
Marten_de Roon,Middlesbrough,91,MID,4,1,8,8,0,44,0,0,0,0,5
Stephen_Ward,Burnley,91,DEF,1,1,8,5,0,53,0,0,0,0,3
Yohan_Cabaye,Crystal Palace,91,MID,4,4,7,7,0,41,0,1,0,0,6
Shkodran_Mustafi,Arsenal,90,DEF,2,2,8,11,0,30,0,0,0,0,8
Ben_Davies,Spurs,90,DEF,1,3,8,1,0,13,0,0,0,0,5
Matthew_Lowton,Burnley,90,DEF,0,2,9,9,0,53,0,0,0,0,5
Alex_Iwobi,Arsenal,89,MID,3,5,9,1,0,20,0,0,0,0,8
André_Ayew,West Ham,89,MID,6,3,6,1,0,25,0,0,0,0,5
Simon_Francis,Bournemouth,89,DEF,0,1,10,4,1,54,0,0,0,0,7
Joel_Robles,Everton,89,GK,0,1,10,2,0,20,0,0,0,54,5
Robert_Huth,Leicester,88,DEF,2,2,9,9,0,49,2,0,0,0,1
Benik_Afobe,Bournemouth,88,FWD,6,5,5,1,0,24,0,1,0,0,9
José_Holebas,Watford,87,DEF,2,4,7,14,0,61,0,0,0,0,9
Sam_Clucas,Hull,87,MID,3,1,5,9,1,75,0,0,0,0,4
Gaël_Clichy,Man City,87,DEF,1,0,8,2,0,24,0,0,0,0,9
Joel_Ward,Crystal Palace,86,DEF,0,1,7,7,0,63,0,0,0,0,7
Gnegneri Yaya_Touré,Man City,86,MID,5,0,12,4,0,17,0,0,0,0,6
Eldin_Jakupovic,Hull,86,GK,0,0,5,0,0,36,0,0,2,73,7
Danny_Simpson,Leicester,85,DEF,0,3,9,12,0,50,0,0,0,0,4
Granit_Xhaka,Arsenal,85,MID,2,3,10,5,2,32,0,0,0,0,7
Harry_Arter,Bournemouth,84,MID,1,4,9,11,1,62,0,1,0,0,6
Danny_Rose,Spurs,84,DEF,2,3,8,8,0,11,0,0,0,0,6
James_Morrison,West Brom,84,MID,5,2,4,3,0,22,0,0,0,0,4
Calum_Chambers,Middlesbrough,83,DEF,2,1,7,4,0,37,0,0,0,0,7
Islam_Slimani,Leicester,83,FWD,7,4,5,1,0,23,0,0,0,0,9
N'Golo_Kanté,Chelsea,83,MID,1,1,13,9,0,33,0,0,0,0,1
Alex_Oxlade-Chamberlain,Arsenal,83,MID,2,7,4,1,0,22,0,0,0,0,3
Kyle_Naughton,Swansea,82,DEF,1,0,8,5,0,48,1,0,0,0,7
Ashley_Barnes,Burnley,81,FWD,6,3,6,6,1,27,0,0,0,0,10
Dimitri_Payet,West Ham,81,MID,2,8,4,2,0,28,0,0,0,0,10
Idrissa_Gueye,Everton,80,MID,1,2,9,11,0,31,0,0,0,0,9
Xherdan_Shaqiri,Stoke,80,MID,4,2,8,2,0,21,0,0,0,0,8
Oriol_Romeu Vidal,Southampton,80,MID,1,0,13,11,0,42,0,0,0,0,4
Jonny_Evans,West Brom,79,DEF,2,1,4,8,0,39,0,0,0,0,7
Peter_Crouch,Stoke,79,FWD,7,3,4,3,0,23,0,0,0,0,7
Cheikhou_Kouyaté,West Ham,79,MID,1,1,9,3,0,46,0,0,0,0,3
Fernando_Luiz Rosa,Man City,78,MID,2,1,10,4,2,27,0,0,0,0,3
Maya_Yoshida,Southampton,78,DEF,1,1,7,2,0,32,0,0,0,0,8
Adam_Forshaw,Middlesbrough,77,MID,0,2,9,4,0,36,0,0,0,0,3
Jake_Livermore,West Brom,77,MID,1,1,4,5,1,62,0,0,0,0,2
Marcos_Rojo,Man Utd,77,DEF,1,0,8,5,0,13,0,0,0,0,7
Steven_Davis,Southampton,77,MID,0,3,10,3,0,37,0,0,0,0,0
Stewart_Downing,Middlesbrough,77,MID,1,3,7,1,0,39,0,0,0,0,3
Jeff_Hendrick,Burnley,76,MID,2,1,9,6,1,47,0,0,0,0,1
Marcus_Rashford,Man Utd,76,FWD,5,3,7,3,0,15,0,0,0,0,2
Mousa_Dembélé,Spurs,76,MID,1,2,11,5,0,17,0,0,0,0,6
Wayne_Rooney,Man Utd,76,FWD,5,5,6,8,0,16,0,0,0,0,9
Virgil_van Dijk,Southampton,75,DEF,1,0,7,3,1,23,0,0,0,0,14
James_Tomkins,Crystal Palace,75,DEF,3,0,6,4,0,36,0,0,0,0,5
Allan-Roméo_Nyom,West Brom,74,DEF,0,2,5,8,0,39,0,0,0,0,6
Wayne_Routledge,Swansea,74,MID,3,2,5,1,0,42,0,0,0,0,2
Henrikh_Mkhitaryan,Man Utd,73,MID,4,1,10,1,0,8,0,0,0,0,3
Jordan_Henderson,Liverpool,73,MID,1,4,7,8,0,28,0,0,0,0,9
Jay_Rodriguez,Southampton,73,MID,5,2,3,0,0,15,0,0,0,0,8
Andrew_Robertson,Hull,73,DEF,1,2,5,5,0,59,0,0,0,0,4
Claudio_Bravo,Man City,73,GK,0,0,6,0,0,26,0,0,1,33,3
Jonathan_Walters,Stoke,72,MID,4,3,6,1,0,22,0,0,0,0,3
Abel_Hernández,Hull,72,FWD,4,4,4,0,0,23,0,0,0,0,6
Harry_Maguire,Hull,71,DEF,2,3,4,5,0,53,0,0,0,0,5
Antonio_Barragán,Middlesbrough,71,DEF,0,0,7,5,0,32,0,0,0,0,8
Miguel_Britos,Watford,71,DEF,1,2,6,6,2,36,0,0,0,0,8
Mark_Noble,West Ham,71,MID,3,0,8,10,0,40,0,1,0,0,5
Adam_Clayton,Middlesbrough,70,MID,0,2,10,10,0,45,0,0,0,0,0
Matteo_Darmian,Man Utd,70,DEF,0,0,9,3,0,8,0,0,0,0,6
Lamine_Koné,Sunderland,69,DEF,1,0,5,4,0,46,0,0,0,0,5
Andy_Carroll,West Ham,69,FWD,7,2,3,3,0,27,0,0,0,0,6
James_Collins,West Ham,69,DEF,2,0,6,3,0,29,0,0,0,0,7
Darren_Randolph,West Ham,69,GK,0,0,4,1,0,39,0,0,1,64,5
Scott_Arfield,Burnley,69,MID,1,2,6,3,0,36,0,0,0,0,3
Daniel_Drinkwater,Leicester,69,MID,1,1,8,6,0,44,0,0,0,0,3
Ramiro_Funes Mori,Everton,69,DEF,0,1,7,0,0,19,0,0,0,0,4
Maarten_Stekelenburg,Everton,68,GK,0,0,4,2,0,24,1,0,2,43,3
Gareth_Barry,Everton,68,MID,2,1,7,10,0,28,0,0,0,0,3
Gabriel Fernando_de Jesus,Man City,67,FWD,7,4,3,2,0,5,0,0,0,0,12
Sebastian_Prödl,Watford,67,DEF,1,2,5,10,1,49,0,0,0,0,3
Didier_Ndong,Sunderland,67,MID,1,1,5,5,0,48,0,0,0,0,1
Nordin_Amrabat,Watford,65,MID,0,3,4,4,0,51,0,0,0,0,5
Marc_Pugh,Bournemouth,64,MID,2,3,5,1,0,24,0,0,0,0,6
Adrián_San Miguel del Castillo,West Ham,64,GK,0,0,6,1,0,25,0,0,0,53,6
Willy_Caballero,Man City,64,GK,0,0,6,0,0,13,0,0,1,31,1
Shinji_Okazaki,Leicester,63,FWD,3,1,7,1,0,26,0,0,0,0,3
Wes_Morgan,Leicester,63,DEF,1,1,5,3,0,45,0,0,0,0,0
Federico_Fernández,Swansea,63,DEF,0,1,6,7,0,41,0,0,0,0,4
Callum_Wilson,Bournemouth,63,FWD,6,1,6,0,0,25,0,0,0,0,2
Tom_Davies,Everton,63,MID,2,3,8,4,0,17,0,0,0,0,0
Tom_Huddlestone,Hull,62,MID,1,2,4,5,1,47,1,0,0,0,5
Ahmed_Elmohamady,Hull,62,MID,0,2,3,3,1,63,1,0,0,0,1
Charlie_Austin,Southampton,62,FWD,6,1,6,1,0,8,0,0,0,0,10
Glenn_Whelan,Stoke,62,MID,0,1,7,5,0,40,1,0,0,0,3
Jack_Wilshere,Bournemouth,61,MID,0,3,5,4,0,45,0,0,0,0,2
Scott_Dann,Crystal Palace,61,DEF,3,1,2,2,0,36,0,0,0,0,4
Jesse_Lingard,Man Utd,60,MID,1,3,7,3,0,12,0,0,0,0,3
Jack_Stephens,Southampton,60,DEF,0,1,6,1,0,24,0,0,0,0,10
Aaron_Cresswell,West Ham,60,DEF,0,2,5,2,1,35,0,0,0,0,1
John_Stones,Man City,59,DEF,0,0,4,1,0,29,0,0,0,0,4
Charlie_Adam,Stoke,59,MID,1,4,6,7,0,23,0,0,0,0,5
Wilfred_Ndidi,Leicester,59,MID,2,3,4,0,0,28,0,0,0,0,2
George_Friend,Middlesbrough,59,DEF,0,3,4,4,0,35,0,0,0,0,6
Gastón_Ramírez,Middlesbrough,59,MID,2,3,6,8,1,22,0,0,0,0,6
Demarai_Gray,Leicester,58,MID,1,4,4,2,0,20,0,0,0,0,0
Fabio Pereira_da Silva,Middlesbrough,58,DEF,0,0,6,8,0,30,0,0,0,0,8
Geoff_Cameron,Stoke,58,DEF,0,1,6,1,0,25,0,0,0,0,5
Shane_Long,Southampton,57,FWD,3,2,2,2,0,23,0,1,0,0,2
Vincent_Kompany,Man City,57,DEF,3,0,5,5,0,6,0,0,0,0,6
Younes_Kaboul,Watford,57,DEF,2,0,4,2,0,36,0,0,0,0,1
Billy_Jones,Sunderland,56,DEF,1,0,5,8,0,49,0,0,0,0,6
Aaron_Ramsey,Arsenal,56,MID,1,4,4,3,0,20,0,0,0,0,3
Glen_Johnson,Stoke,56,DEF,0,0,6,1,0,34,0,0,0,0,3
Jason_Denayer,Sunderland,56,DEF,0,0,6,2,0,30,1,0,0,0,2
Bacary_Sagna,Man City,55,DEF,0,1,6,2,0,14,0,0,0,0,3
Vincent_Janssen,Spurs,55,FWD,2,3,3,0,0,8,0,0,0,0,3
Sofiane_Feghouli,West Ham,55,MID,3,3,1,1,1,23,0,0,0,0,4
Pedro_Obiang,West Ham,55,MID,1,2,4,7,0,32,0,0,0,0,6
Andrea_Ranocchia,Hull,55,DEF,2,2,3,2,0,31,0,0,0,0,9
Nathan_Aké,Chelsea,55,DEF,3,1,3,1,0,20,0,0,0,0,8
Tom_Cleverley,Watford,55,MID,0,3,3,4,0,40,0,0,0,0,0
Phil_Jones,Man Utd,55,DEF,0,0,5,2,0,14,0,0,0,0,4
Claudio_Yacob,West Brom,54,MID,0,0,4,9,0,36,0,0,0,0,0
Daniel_Sturridge,Liverpool,54,FWD,3,5,3,1,0,7,0,0,0,0,2
Steven_Defour,Burnley,54,MID,1,3,5,1,0,13,0,0,0,0,6
Enner_Valencia,Everton,54,FWD,3,3,2,1,0,12,0,0,0,0,3
Cristhian_Stuani,Middlesbrough,54,FWD,4,0,4,4,0,15,0,0,0,0,4
Mason_Holgate,Everton,54,DEF,0,1,5,2,0,18,0,0,0,0,5
Manuel_Agudo Durán,Man City,54,MID,4,3,3,3,1,7,0,0,0,0,2
Daniel_Amartey,Leicester,53,MID,1,1,4,3,0,35,0,0,0,0,3
Kelechi_Iheanacho,Man City,52,FWD,4,3,1,0,0,9,0,0,0,0,6
Chris_Smalling,Man Utd,52,DEF,1,1,4,0,0,16,0,0,0,0,1
Adama_Traoré,Middlesbrough,52,MID,0,1,6,1,0,22,0,0,0,0,2
Martin_Olsson,Swansea,52,DEF,2,0,4,2,0,18,0,0,0,0,3
Tom_Carroll,Swansea,52,MID,1,2,5,1,0,18,0,0,0,0,4
Francis_Coquelin,Arsenal,52,MID,0,1,5,5,0,27,0,0,0,0,1
James_McClean,West Brom,52,MID,1,3,2,9,0,24,0,0,0,0,1
