Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Erling Haaland,Man City,63,FWD,10,0,1,1,0,5,0,0,0,0,14
Luis Díaz,Liverpool,51,MID,5,1,5,0,0,0,0,0,0,0,8
Mohamed Salah,Liverpool,49,MID,3,4,4,0,0,1,0,0,0,0,8
Cole Palmer,Chelsea,36,MID,2,4,2,2,0,5,0,0,0,0,4
Gabriel dos Santos Magalhães,Arsenal,36,DEF,2,0,3,1,0,3,0,0,0,0,4
Nicolas Jackson,Chelsea,35,FWD,4,2,2,2,0,4,0,0,0,0,5
Bukayo Saka,Arsenal,35,MID,1,5,3,1,0,2,0,0,0,0,4
Bryan Mbeumo,Brentford,34,MID,4,0,0,2,0,9,0,0,0,0,6
Son Heung-min,Spurs,33,MID,2,2,1,0,0,5,0,0,0,0,6
David Raya Martin,Arsenal,33,GK,0,0,3,1,0,3,0,0,0,23,6
Harvey Barnes,Newcastle,33,MID,3,1,0,0,0,4,0,0,0,0,8
Trent Alexander-Arnold,Liverpool,32,DEF,0,1,4,1,0,1,0,0,0,0,4
Danny Welbeck,Brighton,31,FWD,3,1,2,1,0,4,0,0,0,0,7
Robert Sánchez,Chelsea,30,GK,0,0,2,1,0,5,0,0,1,21,5
André Onana,Man Utd,30,GK,0,0,3,0,0,5,0,0,1,11,3
Emile Smith Rowe,Fulham,30,MID,2,1,2,0,0,3,0,0,0,0,5
Diogo Dalot Teixeira,Man Utd,29,DEF,0,1,3,0,0,5,0,0,0,0,6
Chris Wood,Nott'm Forest,29,FWD,3,0,3,1,0,3,0,0,0,0,8
Ollie Watkins,Aston Villa,28,FWD,3,1,2,0,0,4,0,0,0,0,3
Noni Madueke,Chelsea,28,MID,3,0,2,0,0,3,0,0,0,0,3
Yoane Wissa,Brentford,28,FWD,3,1,0,1,0,6,0,0,0,0,7
James Maddison,Spurs,26,MID,1,3,1,2,0,5,0,0,0,0,3
Virgil van Dijk,Liverpool,26,DEF,0,0,4,1,0,1,0,0,0,0,1
Kai Havertz,Arsenal,26,FWD,2,1,3,0,0,3,0,0,0,0,5
Noussair Mazraoui,Man Utd,25,DEF,0,1,3,0,0,5,0,0,0,0,2
Jhon Durán,Aston Villa,25,FWD,4,0,0,1,0,3,0,0,0,0,5
Andrew Robertson,Liverpool,25,DEF,0,0,4,1,0,1,0,0,0,0,0
Dominic Calvert-Lewin,Everton,24,FWD,2,1,0,0,0,10,0,0,0,0,3
Dwight McNeil,Everton,24,MID,1,2,0,0,0,14,0,0,0,0,3
Ibrahima Konaté,Liverpool,24,DEF,0,1,3,1,0,1,0,0,0,0,1
Mitoma Kaoru,Brighton,24,MID,1,2,2,0,0,4,0,0,0,0,1
Matthijs de Ligt,Man Utd,23,DEF,1,0,2,1,0,4,0,0,0,0,3
Amadou Onana,Aston Villa,23,MID,2,0,1,2,0,5,0,0,0,0,5
Adama Traoré,Fulham,23,MID,1,2,1,2,0,4,0,0,0,0,3
Alisson Ramses Becker,Liverpool,23,GK,0,0,3,0,0,1,0,0,0,9,2
Jarrod Bowen,West Ham,22,MID,1,2,1,0,0,8,0,0,0,0,0
Alex Iwobi,Fulham,22,MID,1,1,1,0,0,4,0,0,0,0,3
Nick Pope,Newcastle,22,GK,0,0,1,0,0,6,0,0,0,24,2
Antoine Semenyo,Bournemouth,22,MID,2,1,0,2,0,8,0,0,0,0,1
Cristian Romero,Spurs,21,DEF,1,0,1,0,0,5,0,0,0,0,2
Benjamin White,Arsenal,21,DEF,0,0,3,0,0,2,0,0,0,0,0
Matz Sels,Nott'm Forest,21,GK,0,0,2,1,0,4,0,0,0,11,3
Jamie Vardy,Leicester,21,FWD,2,0,0,1,0,8,0,0,0,0,4
Joël Veltman,Brighton,20,DEF,0,0,2,1,0,4,0,0,0,0,4
Ola Aina,Nott'm Forest,20,DEF,0,0,2,1,0,3,0,0,0,0,5
William Saliba,Arsenal,20,DEF,0,0,3,1,0,3,0,0,0,0,0
Mario Lemina,Wolves,20,MID,1,1,0,2,0,14,0,0,0,0,4
Pedro Porro,Spurs,20,DEF,1,0,1,0,0,5,0,0,0,0,1
Stephy Mavididi,Leicester,20,MID,2,0,0,0,0,2,0,0,0,0,3
Mateo Kovačić,Man City,20,MID,1,1,1,1,0,5,0,0,0,0,4
Anthony Gordon,Newcastle,19,MID,1,0,1,0,0,5,0,0,0,0,3
Dominik Szoboszlai,Liverpool,19,MID,0,2,4,2,0,1,0,0,0,0,1
Wilfred Ndidi,Leicester,19,MID,0,3,0,1,0,7,0,0,0,0,1
João Pedro Junqueira de Jesus,Brighton,19,FWD,2,0,1,1,0,2,0,0,0,0,5
Thomas Partey,Arsenal,19,MID,1,0,3,2,0,3,0,0,0,0,3
Alexander Isak,Newcastle,19,FWD,1,1,1,0,0,6,0,0,0,0,3
Matheus Santos Carneiro Da Cunha,Wolves,19,FWD,2,0,0,1,0,12,0,0,0,0,3
Eberechi Eze,Crystal Palace,19,MID,1,0,1,0,0,7,0,0,0,0,3
Jean-Philippe Mateta,Crystal Palace,19,FWD,2,0,0,0,0,6,0,0,0,0,3
Jack Hinshelwood,Brighton,19,MID,1,0,2,1,0,4,0,0,0,0,3
Ederson Santana de Moraes,Man City,19,GK,0,1,1,1,0,5,0,0,0,11,2
Callum Hudson-Odoi,Nott'm Forest,19,MID,1,1,2,1,0,3,0,0,0,0,1
Amad Diallo,Man Utd,19,MID,1,1,3,1,0,1,0,0,0,0,0
Jan Paul van Hecke,Brighton,19,DEF,0,1,2,1,0,4,0,0,0,0,0
Lisandro Martínez,Man Utd,19,DEF,0,0,3,2,0,5,0,0,0,0,1
Brennan Johnson,Spurs,18,MID,1,1,1,0,0,4,0,0,0,0,0
