name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points
David de Gea 235,Man Utd,143,GK,0,0,13,2,0,36,0,0,0,95,8
Martin Dubravka 262,Newcastle,143,GK,0,0,11,0,0,58,0,0,0,139,7
Enda Stevens 291,Sheffield Utd,142,DEF,2,4,13,7,0,39,0,0,0,0,8
George Baldock 294,Sheffield Utd,142,DEF,2,4,13,7,0,39,0,0,0,0,7
David Silva 219,Man City,139,MID,6,12,11,0,0,15,0,0,0,0,15
Teemu Pukki 278,Norwich,139,FWD,11,3,6,3,0,59,0,0,0,0,21
Mason Mount 463,Chelsea,137,MID,7,6,9,3,0,44,0,0,0,0,11
Ben Foster 366,Watford,137,GK,0,0,9,1,0,64,0,0,1,117,17
Vicente Guaita 131,Crystal Palace,137,GK,0,0,10,1,0,42,1,0,0,111,16
Chris Wood 91,Burnley,136,FWD,14,1,11,1,0,33,1,0,0,0,21
Mathew Ryan 47,Brighton,135,GK,0,0,9,0,0,54,0,0,0,117,14
John Egan 295,Sheffield Utd,133,DEF,2,1,13,3,1,33,0,0,0,0,9
Harvey Barnes 172,Leicester,133,MID,6,10,9,0,0,24,0,0,0,0,9
Ederson Santana de Moraes 212,Man City,133,GK,0,0,16,3,1,31,0,0,0,68,2
Jordan Ayew 468,Crystal Palace,132,FWD,9,3,12,6,0,45,0,0,0,0,19
Sergio AgÃ¼ero 210,Man City,132,FWD,16,6,5,1,0,18,0,1,0,0,14
Neal Maupay 502,Brighton,131,FWD,10,3,8,3,0,36,0,1,0,0,21
Adama TraorÃ© 417,Wolves,130,MID,4,9,7,1,0,33,0,0,0,0,14
CÃ©sar Azpilicueta 105,Chelsea,130,DEF,2,6,8,1,0,53,0,0,0,0,16
Ayoze PÃ©rez 265,Leicester,129,MID,8,5,9,0,0,25,0,0,0,0,9
Lewis Dunk 42,Brighton,128,DEF,3,3,9,9,0,50,0,0,0,0,17
Jonny Evans 162,Leicester,128,DEF,1,2,13,7,1,41,1,0,0,0,12
Christian Pulisic 431,Chelsea,127,MID,9,8,6,0,0,28,0,0,0,0,8
Aaron Wan-Bissaka 122,Man Utd,127,DEF,0,4,12,8,0,33,0,0,0,0,16
Dominic Calvert-Lewin 147,Everton,126,FWD,13,1,8,9,0,43,0,0,0,0,15
Aaron Ramsdale 494,Bournemouth,126,GK,0,1,5,0,0,62,0,0,1,128,13
James Maddison 171,Leicester,125,MID,6,5,10,4,0,26,0,0,0,0,14
Serge Aurier 336,Spurs,124,DEF,1,7,9,2,1,33,1,0,0,0,15
Ricardo Domingos Barbosa Pereira 159,Leicester,123,DEF,3,2,10,1,0,27,0,0,0,0,11
Jonathan Castro Otto 402,Wolves,123,DEF,2,3,11,4,0,35,0,0,0,0,6
Harry Maguire 160,Man Utd,123,DEF,1,0,13,6,0,36,0,0,0,0,5
Dwight McNeil 97,Burnley,123,MID,2,7,16,5,0,48,0,0,0,0,6
Chris Basham 423,Sheffield Utd,123,DEF,0,1,13,4,0,37,0,0,0,0,6
Alisson Ramses Becker 189,Liverpool,122,GK,0,1,13,0,1,24,0,0,0,58,11
Ãaglar SÃ¶yÃ¼ncÃ¼ 164,Leicester,120,DEF,1,1,12,4,1,35,0,0,0,0,12
Wilfried Zaha 133,Crystal Palace,120,MID,4,6,9,5,0,46,0,0,0,0,4
Lucas Digne 141,Everton,120,DEF,0,8,9,6,0,49,1,0,0,0,16
Ashley Westwood 101,Burnley,118,MID,2,7,15,9,0,39,0,0,0,0,11
Alexandre Lacazette 12,Arsenal,118,FWD,10,7,5,8,0,25,0,0,0,0,16
Conor Coady 403,Wolves,118,DEF,0,0,13,5,0,40,0,0,0,0,7
Bruno Miguel Borges Fernandes 618,Man Utd,117,MID,8,8,9,2,0,6,0,0,0,0,18
James Ward-Prowse 321,Southampton,117,MID,5,4,9,9,0,60,0,2,0,0,8
Jordan Pickford 148,Everton,117,GK,0,0,9,2,0,56,0,0,0,94,5
Youri Tielemans 448,Leicester,117,MID,3,6,12,2,0,35,0,0,0,0,5
Bamidele Alli 344,Spurs,117,MID,8,6,4,2,0,25,0,0,0,0,12
Bernardo Mota Veiga de Carvalho e Silva 218,Man City,116,MID,6,7,9,5,0,24,0,0,0,0,7
Victor LindelÃ¶f 225,Man Utd,116,DEF,1,0,12,6,0,32,1,0,0,0,9
Callum Wilson 67,Bournemouth,116,FWD,8,6,4,9,0,53,0,0,0,0,8
Jordan Henderson 198,Liverpool,116,MID,4,5,16,2,0,14,0,0,0,0,11
Kyle Walker 203,Man City,114,DEF,1,4,12,5,0,24,0,0,0,0,7
Bernd Leno 14,Arsenal,114,GK,0,0,7,2,0,39,0,0,1,113,10
Benjamin Chilwell 161,Leicester,114,DEF,3,3,9,3,0,26,0,0,0,0,8
JoÃ£o Filipe Iria Santos Moutinho 415,Wolves,113,MID,1,7,11,7,0,36,0,0,0,0,12
Abdoulaye DoucourÃ© 368,Watford,113,MID,4,4,10,9,0,61,1,0,0,0,9
Michail Antonio 389,West Ham,111,MID,10,4,3,3,0,30,0,0,0,0,8
Jack O'Connell 293,Sheffield Utd,111,DEF,0,1,12,4,0,28,0,0,0,0,6
Todd Cantwell 287,Norwich,111,MID,6,2,6,6,0,54,0,0,0,0,10
Ben Mee 83,Burnley,110,DEF,1,2,13,7,0,45,0,0,0,0,6
Miguel AlmirÃ³n 266,Newcastle,109,MID,4,2,12,5,0,48,0,0,0,0,5
Patrick van Aanholt 123,Crystal Palace,109,DEF,3,2,8,0,0,38,1,0,0,0,12
Tim Krul 280,Norwich,109,GK,0,0,5,4,0,68,1,0,2,131,10
Troy Deeney 362,Watford,109,FWD,10,2,6,3,0,39,0,1,0,0,15
Georginio Wijnaldum 199,Liverpool,107,MID,4,0,12,0,0,28,0,0,0,0,5
IsmaÃ¯la Sarr 525,Watford,107,MID,5,7,6,1,0,35,0,0,0,0,7
Nathan Redmond 320,Southampton,107,MID,4,4,7,2,0,51,0,0,0,0,8
Nicolas PÃ©pÃ© 488,Arsenal,106,MID,5,6,5,4,0,30,0,0,0,0,9
Diogo Jota 410,Wolves,105,FWD,7,3,10,4,0,28,0,0,0,0,12
Declan Rice 395,West Ham,105,MID,1,5,7,6,0,62,0,0,0,0,8
Mark Noble 396,West Ham,105,MID,4,4,7,5,0,44,0,0,0,0,8
Jonjo Shelvey 269,Newcastle,105,MID,6,2,8,3,0,34,0,0,0,0,15
Alex McCarthy 318,Southampton,104,GK,0,0,7,0,0,35,0,0,1,79,8
Leandro Trossard 421,Brighton,104,MID,5,5,4,0,0,34,0,0,0,0,9
Romain SaÃ¯ss 407,Wolves,103,DEF,2,2,10,10,1,34,0,0,0,0,8
Mason Greenwood 234,Man Utd,103,FWD,10,1,6,0,0,13,0,0,0,0,17
Federico FernÃ¡ndez 254,Newcastle,102,DEF,2,3,8,8,0,42,1,0,0,0,13
SÃ©bastien Haller 457,West Ham,102,FWD,7,3,5,1,0,41,0,0,0,0,11
John Fleck 301,Sheffield Utd,101,MID,5,2,8,8,0,30,0,0,0,0,13
Lucas Rodrigues Moura da Silva 345,Spurs,100,MID,4,5,6,3,0,29,0,0,0,0,3
Leander Dendoncker 420,Wolves,100,MID,4,0,11,5,0,34,1,0,0,0,9
Marcos Alonso 103,Chelsea,100,DEF,4,4,7,4,0,18,0,0,0,0,11
Jay Rodriguez 451,Burnley,100,FWD,8,2,7,1,0,34,0,0,0,0,9
Joshua King 68,Bournemouth,99,FWD,6,5,4,0,0,37,0,0,0,0,11
Hugo Lloris 340,Spurs,98,GK,0,0,6,0,0,21,0,0,1,80,13
Mahmoud Ahmed Ibrahim Hassan 465,Aston Villa,98,MID,6,2,6,2,1,29,0,0,0,0,7
Oliver Norwood 302,Sheffield Utd,98,MID,1,3,13,8,0,36,0,0,0,0,6
Stuart Armstrong 323,Southampton,98,MID,5,4,7,4,0,25,0,0,0,0,10
RÃºben Diogo da Silva Neves 414,Wolves,97,MID,2,2,13,9,0,35,0,0,0,0,7
Willy Boly 405,Wolves,97,DEF,0,1,12,1,1,15,0,0,0,0,10
Toby Alderweireld 331,Spurs,97,DEF,2,2,7,7,0,39,1,0,0,0,6
Daniel James 243,Man Utd,95,MID,3,6,7,4,0,29,0,0,0,0,2
Gylfi Sigurdsson 151,Everton,95,MID,2,4,6,3,0,45,0,0,0,0,7
David Luiz Moreira Marinho 106,Arsenal,94,DEF,2,1,8,5,2,42,0,0,0,0,10
Emiliano BuendÃ­a 283,Norwich,94,MID,1,7,3,6,1,54,0,0,0,0,12
Pablo Fornals 399,West Ham,93,MID,2,6,6,3,0,35,0,0,0,0,4
Anwar El Ghazi 30,Aston Villa,93,MID,4,5,5,3,0,48,0,0,0,0,0
Joseph Gomez 184,Liverpool,93,DEF,0,0,12,7,0,16,0,0,0,0,7
Jorge Luiz Frello Filho 118,Chelsea,92,MID,4,3,6,10,0,40,0,0,0,0,9
James McArthur 138,Crystal Palace,92,MID,0,4,11,6,0,38,0,0,0,0,2
Rodrigo Hernandez 443,Man City,92,MID,3,2,14,8,0,27,0,0,0,0,5
Allan Saint-Maximin 500,Newcastle,92,MID,3,5,8,0,0,22,0,0,0,0,7
Harry Wilson 505,Bournemouth,91,MID,7,1,2,2,0,32,0,0,0,0,7
Douglas Luiz Soares de Paulo 470,Aston Villa,90,MID,3,2,8,8,0,51,0,0,0,0,5
Kepa Arrizabalaga 111,Chelsea,90,GK,0,0,8,0,0,47,0,0,0,55,0
Tyrone Mings 445,Aston Villa,90,DEF,2,2,6,7,0,53,0,0,0,0,9
Michael Keane 143,Everton,90,DEF,2,0,7,3,0,42,1,0,0,0,9
Gerard Deulofeu 363,Watford,88,FWD,4,5,8,3,0,33,0,0,0,0,9
Adam Webster 493,Brighton,88,DEF,3,1,5,4,0,44,1,0,0,0,7
Robert Snodgrass 393,West Ham,87,MID,5,5,3,4,0,33,0,0,0,0,8
Dan Burn 475,Brighton,86,DEF,0,0,9,5,0,42,0,0,0,0,3
Oliver McBurnie 501,Sheffield Utd,86,FWD,6,1,9,4,0,25,0,0,0,0,6
Jack Stephens 308,Southampton,85,DEF,1,3,7,4,1,39,0,0,0,0,8
Cheikhou KouyatÃ© 139,Crystal Palace,85,MID,1,2,10,4,0,36,0,0,0,0,4
Wilfred Ndidi 176,Leicester,85,MID,2,1,12,6,0,32,0,0,0,0,5
John McGinn 31,Aston Villa,84,MID,3,3,6,3,0,41,0,0,0,0,4
Lys Mousset 70,Sheffield Utd,84,FWD,6,4,3,1,0,15,0,0,0,0,11
Charlie Taylor 87,Burnley,84,DEF,0,1,10,3,0,18,0,0,0,0,5
Jan Bednarek 307,Southampton,84,DEF,1,1,7,4,0,57,1,0,0,0,5
Diego Rico 65,Bournemouth,84,DEF,0,5,6,6,0,38,0,0,0,0,10
Lukasz Fabianski 388,West Ham,83,GK,0,0,5,1,0,34,0,0,1,72,5
Conor Hourihane 28,Aston Villa,83,MID,3,5,6,4,0,29,0,0,0,0,9
NicolÃ¡s Otamendi 208,Man City,82,DEF,2,1,7,3,0,21,0,0,0,0,6
Angelo Ogbonna 377,West Ham,81,DEF,2,0,7,4,0,44,1,0,0,0,0
Luka Milivojevic 134,Crystal Palace,81,MID,3,1,7,12,0,38,0,0,0,0,9
Matt Targett 309,Aston Villa,80,DEF,1,3,5,4,0,40,0,0,0,0,10
Aaron Mooy 516,Brighton,80,MID,2,2,6,1,1,33,0,0,0,0,9
Aaron Cresswell 376,West Ham,79,DEF,3,0,5,7,0,51,0,0,0,0,5
Nathan AkÃ© 59,Bournemouth,79,DEF,2,2,4,2,0,46,0,0,0,0,6
Davy PrÃ¶pper 54,Brighton,78,MID,1,2,6,4,0,46,1,0,0,0,2
Phil Bardsley 86,Burnley,78,DEF,0,2,9,6,0,19,0,0,0,0,6
Etienne Capoue 373,Watford,78,MID,0,4,8,8,0,48,0,0,0,0,7
Joelinton CÃ¡ssio ApolinÃ¡rio de Lira 466,Newcastle,78,FWD,2,2,9,7,0,46,0,0,0,0,3
Che Adams 437,Southampton,78,FWD,4,4,4,0,0,17,0,0,0,0,8
Yerry Mina 142,Everton,78,DEF,2,1,5,3,0,37,1,0,0,0,8
Erik Pieters 447,Burnley,77,DEF,0,5,6,2,0,35,0,0,0,0,10
Fabio Henrique Tavares 197,Liverpool,77,MID,2,3,6,6,0,26,0,0,0,0,8
Kenny McLean 286,Norwich,77,MID,1,1,5,5,0,63,0,0,0,0,0
Craig Cathcart 358,Watford,77,DEF,0,0,9,7,0,37,0,0,0,0,3
Joel Ward 126,Crystal Palace,77,DEF,0,1,7,4,0,36,0,0,0,0,8
Alex Oxlade-Chamberlain 193,Liverpool,76,MID,4,1,8,1,0,12,1,0,0,0,2
Pascal GroÃ 49,Brighton,76,MID,2,5,3,4,0,32,1,0,0,0,7
Issa Diop 381,West Ham,76,DEF,3,1,4,8,0,54,0,0,0,0,3
Pierre-Emile HÃ¸jbjerg 325,Southampton,75,MID,0,3,7,5,0,51,0,0,0,0,1
Ryan Bertrand 305,Southampton,75,DEF,1,1,7,3,1,52,0,0,0,0,0
Scott McTominay 248,Man Utd,74,MID,3,2,3,2,0,20,0,0,0,0,6
Benjamin Mendy 204,Man City,74,DEF,0,2,9,3,0,13,0,0,0,0,3
Ryan Fredericks 380,West Ham,74,DEF,0,3,7,7,0,39,0,0,0,0,7
Matt Ritchie 251,Newcastle,74,DEF,2,1,8,4,0,19,0,1,0,0,7
Djibril SidibÃ© 511,Everton,74,DEF,0,4,5,3,0,30,0,0,0,0,10
Christian Kabasele 354,Watford,73,DEF,0,2,7,1,2,35,0,0,0,0,4
Jamaal Lascelles 258,Newcastle,73,DEF,1,0,8,5,0,31,0,0,0,0,3
Ryan Fraser 75,Bournemouth,73,MID,1,5,4,2,0,34,0,0,0,0,2
Isaac Hayden 271,Newcastle,73,MID,1,4,8,4,1,36,0,0,0,0,3
Granit Xhaka 18,Arsenal,73,MID,1,2,10,10,0,31,0,0,0,0,2
Bernard AnÃ­cio Caldeira Duarte 152,Everton,72,MID,3,2,9,2,0,12,0,0,0,0,6
Mason Holgate 478,Everton,71,DEF,0,4,5,5,0,34,0,0,0,0,6
Bukayo Saka 541,Arsenal,71,MID,1,6,7,6,0,18,0,0,0,0,4
Jack Cork 102,Burnley,70,MID,0,0,12,1,0,41,0,0,0,0,0
Andriy Yarmolenko 392,West Ham,70,MID,5,1,3,2,0,17,0,0,0,0,10
Gary Cahill 503,Crystal Palace,70,DEF,0,1,7,1,0,35,0,0,0,0,4
Dominic Solanke 69,Bournemouth,69,FWD,3,2,1,1,0,39,0,0,0,0,3
Moussa Sissoko 349,Spurs,69,MID,2,1,7,8,0,31,0,0,0,0,0
Phil Foden 220,Man City,69,MID,5,2,4,0,0,7,0,0,0,0,4
Mateo Kovacic 432,Chelsea,68,MID,1,3,4,8,0,37,0,0,0,0,6
Philip Billing 476,Bournemouth,68,MID,1,1,5,8,0,41,0,0,0,0,5
Olivier Giroud 110,Chelsea,68,FWD,8,1,6,1,0,16,0,0,0,0,5
Alexander Tettey 289,Norwich,67,MID,1,1,5,5,0,44,0,0,0,0,3
Luke Shaw 226,Man Utd,67,DEF,0,0,8,7,0,15,0,0,0,0,2
Wesley Moraes 428,Aston Villa,67,FWD,5,1,6,3,0,31,0,1,0,0,7
Jeff Hendrick 100,Burnley,67,MID,2,2,10,8,0,30,0,0,0,0,4
Felipe Anderson Pereira Gomes 390,West Ham,66,MID,1,4,7,1,0,27,0,0,0,0,1
Adam Masina 355,Watford,66,DEF,1,0,6,3,0,31,0,0,0,0,4
Maximillian Aarons 274,Norwich,66,DEF,0,2,5,7,0,71,0,0,0,0,3
Ilkay GÃ¼ndogan 222,Man City,65,MID,2,1,7,7,0,28,0,1,0,0,4
Ezri Konsa Ngoyo 452,Aston Villa,65,DEF,1,2,5,3,0,39,0,0,0,0,4
Javier Manquillo 256,Newcastle,65,DEF,0,1,8,5,0,21,0,0,0,0,4
Jefferson Lerma 82,Bournemouth,65,MID,1,2,4,11,1,49,0,0,0,0,2
Erik Lamela 346,Spurs,65,MID,2,5,5,3,0,12,0,0,0,0,2
David McGoldrick 303,Sheffield Utd,65,FWD,2,2,7,2,0,18,0,0,0,0,6
Divock Origi 188,Liverpool,65,FWD,4,3,2,1,0,12,0,0,0,0,8
Jetro Willems 498,Newcastle,64,DEF,2,2,3,0,0,24,0,0,0,0,6
Davinson SÃ¡nchez 333,Spurs,64,DEF,0,2,4,6,0,37,0,0,0,0,4
Kelechi Iheanacho 167,Leicester,64,FWD,5,4,3,1,0,9,0,0,0,0,7
Martin Kelly 128,Crystal Palace,64,DEF,0,1,6,0,0,16,0,0,0,0,4
Theo Walcott 153,Everton,63,MID,2,4,4,1,0,19,0,0,0,0,1
Aymeric Laporte 202,Man City,63,DEF,1,0,8,1,0,5,0,0,0,0,0
Dale Stephens 57,Brighton,63,MID,0,1,6,8,0,42,0,0,0,0,1
Antonio RÃ¼diger 104,Chelsea,63,DEF,2,0,5,3,0,24,1,0,0,0,5
Kurt Zouma 459,Chelsea,62,DEF,0,0,7,6,0,37,1,0,0,0,2
Will Hughes 370,Watford,62,MID,1,1,5,9,0,46,0,0,0,0,3
Jan Vertonghen 330,Spurs,62,DEF,1,1,4,2,0,24,0,0,0,0,5
MartÃ­n Montoya 38,Brighton,62,DEF,0,1,6,5,0,32,0,0,0,0,3
FrÃ©dÃ©ric Guilbert 458,Aston Villa,62,DEF,0,2,6,7,0,36,0,0,0,0,4
Shane Long 315,Southampton,62,FWD,2,3,5,0,0,20,0,0,0,0,4
Ross Barkley 117,Chelsea,61,MID,1,5,5,0,0,14,0,0,0,0,5
CÃ©dric Soares 486,Arsenal,61,DEF,1,1,4,1,0,20,0,0,0,0,3
Craig Dawson 439,Watford,61,DEF,2,0,4,6,0,49,0,0,0,0,2
Ashley Barnes 90,Burnley,61,FWD,6,0,8,4,0,21,0,0,0,0,6
Aaron Connolly 534,Brighton,61,FWD,3,3,5,0,0,22,0,0,0,0,5
Reece James 506,Chelsea,61,DEF,0,2,5,1,0,23,0,0,0,0,5
Roberto Pereyra 369,Watford,60,MID,3,0,5,4,0,27,0,0,0,0,0
Andreas Pereira 246,Man Utd,60,MID,1,3,6,3,0,16,0,0,0,0,1
Tom Davies 154,Everton,59,MID,1,1,5,8,0,34,0,0,0,0,3
Tom Heaton 94,Aston Villa,59,GK,0,0,4,0,0,35,1,0,0,67,3
Dwight Gayle 554,Newcastle,58,FWD,4,2,4,2,0,15,0,0,0,0,10
Paulo Gazzaniga 341,Spurs,58,GK,0,0,2,1,0,26,0,0,1,59,6
N'Golo KantÃ© 119,Chelsea,57,MID,3,0,3,4,0,25,0,0,0,0,2
Sokratis Papastathopoulos 5,Arsenal,57,DEF,2,0,4,6,0,25,0,0,0,0,5
Billy Sharp 298,Sheffield Utd,57,FWD,3,2,4,1,1,10,0,0,0,0,9
Daniel Ceballos FernÃ¡ndez 469,Arsenal,57,MID,0,2,7,1,0,21,0,0,0,0,3
Pedro Lomba Neto 528,Wolves,57,MID,3,3,1,3,0,12,0,0,0,0,0
Fernando Luiz Rosa 221,Man City,55,MID,0,1,10,7,2,27,1,0,0,0,1
Fabian SchÃ¤r 252,Newcastle,55,DEF,2,1,4,5,0,38,0,0,0,0,2
Nemanja Matic 247,Man Utd,55,MID,0,2,10,2,0,13,0,0,0,0,2
Seamus Coleman 144,Everton,55,DEF,0,1,5,3,1,29,0,0,0,0,2
Sead Kolasinac 3,Arsenal,55,DEF,0,2,4,4,0,26,0,0,0,0,1
Giovani Lo Celso 523,Spurs,54,MID,0,3,6,6,0,18,0,0,0,0,3
Dennis Praet 517,Leicester,54,MID,1,3,2,2,0,17,0,0,0,0,3
Francisco FemenÃ­a Far 357,Watford,54,DEF,0,1,5,5,0,46,0,0,0,0,0
Dan Gosling 81,Bournemouth,54,MID,3,1,2,3,0,23,0,0,0,0,1
Callum Hudson-Odoi 116,Chelsea,53,MID,1,5,2,1,0,14,0,0,0,0,3
Moise Kean 496,Everton,53,FWD,2,2,1,1,0,15,0,0,0,0,5
Mesut Ãzil 15,Arsenal,53,MID,1,3,5,1,0,20,0,0,0,0,1
Naby Keita 196,Liverpool,52,MID,2,3,5,1,0,8,0,0,0,0,3
Alex Iwobi 17,Everton,52,MID,1,0,4,0,0,30,0,0,0,0,2
Harry Winks 347,Spurs,52,MID,0,0,6,9,0,31,0,0,0,0,0
Onel HernÃ¡ndez 284,Norwich,52,MID,1,2,1,0,0,32,0,0,0,0,0
Steve Cook 58,Bournemouth,52,DEF,1,0,3,6,1,48,0,0,0,0,5
Oriol Romeu Vidal 328,Southampton,51,MID,0,0,5,5,0,38,0,0,0,0,1
Jeffrey Schlupp 137,Crystal Palace,51,MID,3,1,4,2,0,16,0,0,0,0,4
Brandon Williams 549,Man Utd,51,DEF,1,1,5,6,0,11,0,0,0,0,3
Paul Pogba 238,Man Utd,51,MID,1,4,6,1,0,9,0,1,0,0,2
Jannik Vestergaard 304,Southampton,51,DEF,1,0,4,3,0,26,0,0,0,0,6
Scott Dann 127,Crystal Palace,51,DEF,0,1,5,0,0,14,0,0,0,0,3
Frederico Rodrigues de Paula Santos 244,Man Utd,50,MID,0,0,6,8,0,26,0,0,0,0,0
Manuel Lanzini 391,West Ham,50,MID,0,3,2,1,0,30,0,0,0,0,3
James Milner 200,Liverpool,49,MID,2,2,4,4,0,9,0,0,0,0,3
Oleksandr Zinchenko 206,Man City,49,DEF,0,0,6,0,1,15,0,0,0,0,1
Ciaran Clark 259,Newcastle,49,DEF,2,0,4,3,0,14,0,0,0,0,2
Adam Smith 63,Bournemouth,49,DEF,0,1,4,7,0,40,0,0,0,0,3
Matteo Guendouzi 21,Arsenal,48,MID,0,2,3,6,0,31,0,0,0,0,2
Fikayo Tomori 529,Chelsea,48,DEF,1,0,4,3,0,18,0,0,0,0,7
James Tomkins 124,Crystal Palace,48,DEF,1,1,3,5,0,23,0,0,0,0,4
Andros Townsend 135,Crystal Palace,48,MID,1,1,3,0,0,23,0,0,0,0,0
Matthew Lowton 85,Burnley,48,DEF,0,1,6,2,0,31,0,0,0,0,1
Christian Eriksen 343,Spurs,48,MID,2,2,1,5,0,18,0,0,0,0,6
Jamal Lewis 276,Norwich,48,DEF,1,0,3,4,0,56,0,0,0,0,3
Danny Rose 332,Newcastle,47,DEF,0,0,5,7,0,28,0,0,0,0,0
Lucas Torreira 19,Arsenal,46,MID,1,1,3,7,0,23,0,0,0,0,0
Tanguy Ndombele 442,Spurs,45,MID,2,2,1,3,0,17,0,0,0,0,2
JoÃ£o Pedro Cavaco Cancelo 518,Man City,45,DEF,0,0,5,4,0,11,0,0,0,0,3
Michael Obafemi 314,Southampton,45,FWD,3,2,3,1,0,12,0,0,0,0,2
Sean Longstaff 270,Newcastle,44,MID,1,2,2,2,1,26,0,0,0,0,0
Shane Duffy 37,Brighton,44,DEF,1,0,3,2,0,18,0,0,0,0,1
Jarrod Bowen 626,West Ham,44,MID,1,4,1,0,0,13,0,0,0,0,3
Paul Dummett 255,Newcastle,44,DEF,0,0,5,2,0,20,1,0,0,0,4
HÃ©ctor BellerÃ­n 2,Arsenal,44,DEF,1,0,4,2,0,18,0,0,0,0,4
Demarai Gray 175,Leicester,44,MID,2,4,1,1,0,6,0,1,0,0,0
Shkodran Mustafi 1,Arsenal,43,DEF,0,2,4,2,0,17,0,0,0,0,2
Steven Bergwijn 615,Spurs,43,MID,3,1,2,2,0,9,0,0,0,0,5
Marvelous Nakamba 491,Aston Villa,43,MID,0,0,1,5,0,37,0,0,0,0,0
Bjorn Engels 455,Aston Villa,42,DEF,1,0,3,1,0,32,0,0,0,0,4
Christian Benteke 129,Crystal Palace,42,FWD,2,1,5,4,1,18,0,0,0,0,1
Junior Stanislas 77,Bournemouth,42,MID,3,1,1,1,0,17,0,0,0,0,2
Calum Chambers 467,Arsenal,42,DEF,1,1,3,5,0,15,0,0,0,0,5
Kieran Tierney 515,Arsenal,42,DEF,1,2,2,2,0,16,0,0,0,0,4
Joseph Willock 490,Arsenal,41,MID,1,1,1,2,0,16,0,0,0,0,0
JosÃ© Reina 603,Aston Villa,41,GK,0,0,2,1,0,20,0,0,1,33,4
Ben Davies 329,Spurs,41,DEF,0,0,4,6,0,19,0,0,0,0,2
James McCarthy 157,Crystal Palace,41,MID,0,0,2,9,0,29,0,0,0,0,0
Ainsley Maitland-Niles 4,Arsenal,41,DEF,0,2,3,4,1,22,0,0,0,0,3
Tomas Soucek 616,West Ham,41,MID,3,0,1,0,0,18,1,0,0,0,3
FabiÃ¡n Balbuena 382,West Ham,40,DEF,1,0,3,2,0,24,0,0,0,0,3
Sander Berge 621,Sheffield Utd,40,MID,1,1,4,0,0,11,0,0,0,0,3
Moussa Djenepo 438,Southampton,40,MID,2,2,2,4,1,14,0,0,0,0,3
Lewis Cook 79,Bournemouth,40,MID,0,1,2,5,0,30,0,0,0,0,0
