Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Mohamed Salah,Liverpool,303,MID,32,12,15,1,0,29,0,1,0,0,26
Raheem Sterling,Man City,229,MID,18,17,13,3,1,23,0,0,0,0,19
Harry Kane,Spurs,217,FWD,29,2,15,5,0,34,0,1,0,0,31
Kevin De Bruyne,Man City,209,MID,8,18,19,2,0,22,0,0,0,0,25
Christian Eriksen,Spurs,199,MID,11,10,17,0,0,33,0,0,0,0,23
Riyad Mahrez,Leicester,195,MID,12,13,9,2,0,51,0,0,0,0,19
Jamie Vardy,Leicester,183,FWD,20,2,8,3,0,57,0,1,0,0,28
Roberto Firmino,Liverpool,181,FWD,15,8,16,1,0,32,0,0,0,0,29
Leroy Sané,Man City,179,MID,10,15,12,4,0,22,0,0,0,0,17
Heung-Min Son,Spurs,178,MID,12,8,14,0,0,18,0,0,0,0,16
Bamidele Alli,Spurs,175,MID,9,13,16,7,0,28,0,0,0,0,12
César Azpilicueta,Chelsea,175,DEF,2,6,15,1,0,38,1,0,0,0,25
Eden Hazard,Chelsea,173,MID,12,6,12,2,0,27,0,0,0,0,24
David de Gea,Man Utd,172,GK,0,0,18,0,0,28,0,0,0,115,10
Sergio Agüero,Man City,169,FWD,21,6,13,2,0,12,0,0,0,0,22
David Silva,Man City,169,MID,9,11,14,5,0,18,0,0,0,0,26
Marcos Alonso,Chelsea,165,DEF,7,2,13,6,0,30,0,0,0,0,15
Pascal Groß,Brighton,164,MID,7,8,10,2,0,46,0,0,0,0,24
Romelu Lukaku,Man Utd,162,FWD,16,7,14,4,0,26,0,1,0,0,18
Ederson Santana de Moraes,Man City,158,GK,0,0,16,1,0,26,0,0,2,58,10
Lukasz Fabianski,Swansea,157,GK,0,0,9,0,0,56,0,0,3,137,14
Nicolás Otamendi,Man City,156,DEF,4,0,15,9,0,25,1,0,0,0,21
Xherdan Shaqiri,Stoke,155,MID,8,9,6,5,0,58,0,1,0,0,19
Nick Pope,Burnley,152,GK,0,0,11,3,0,35,0,0,1,113,19
Alexis Sánchez,Man Utd,152,MID,9,10,11,5,0,32,0,1,0,0,13
Sadio Mané,Liverpool,147,MID,10,8,15,3,1,24,0,0,0,0,8
Mathew Ryan,Brighton,146,GK,0,0,10,0,0,54,0,0,2,124,13
Antonio Valencia,Man Utd,146,DEF,3,1,16,7,0,22,0,0,0,0,13
Jordan Pickford,Everton,145,GK,0,0,10,0,0,58,0,0,1,121,16
Marko Arnautovic,West Ham,144,MID,11,7,7,5,1,50,0,0,0,0,12
Luka Milivojevic,Crystal Palace,144,MID,10,2,8,8,0,52,0,1,0,0,21
Hugo Lloris,Spurs,144,GK,0,0,15,1,0,35,0,0,0,87,6
Ben Davies,Spurs,143,DEF,2,7,12,3,0,20,0,0,0,0,14
Jan Vertonghen,Spurs,138,DEF,0,1,16,4,0,31,0,0,0,0,13
Alexandre Lacazette,Arsenal,138,FWD,14,5,10,1,0,28,0,0,0,0,11
Kyle Walker,Man City,138,DEF,0,6,15,2,1,22,1,0,0,0,8
Paul Pogba,Man Utd,138,MID,6,13,11,5,1,20,0,0,0,0,15
Wilfried Zaha,Crystal Palace,136,MID,9,7,10,5,0,31,0,0,0,0,8
Abdoulaye Doucouré,Watford,136,MID,7,4,9,10,0,63,0,0,0,0,16
Thibaut Courtois,Chelsea,136,GK,0,0,15,2,0,34,0,0,0,77,4
Jonas Lössl,Huddersfield,135,GK,0,1,10,1,0,58,1,0,2,103,11
Héctor Bellerín,Arsenal,132,DEF,2,4,12,5,0,44,0,0,0,0,11
Victor Moses,Chelsea,131,DEF,3,6,11,3,0,20,0,0,0,0,9
Willian Borges Da Silva,Chelsea,130,MID,6,8,9,1,0,19,0,0,0,0,13
Aaron Ramsey,Arsenal,130,MID,7,10,9,0,0,25,0,0,0,0,12
Nacho Monreal,Arsenal,130,DEF,5,2,10,3,0,29,0,0,0,0,15
Jesse Lingard,Man Utd,128,MID,8,6,9,2,0,18,0,0,0,0,10
Gabriel Fernando de Jesus,Man City,126,FWD,13,7,9,6,0,12,0,2,0,0,18
Anthony Martial,Man Utd,125,MID,9,6,9,1,0,13,0,0,0,0,7
Jack Butland,Stoke,125,GK,0,0,6,0,0,61,1,0,0,145,16
Richarlison de Andrade,Watford,125,MID,5,8,8,4,0,54,0,0,0,0,4
Petr Cech,Arsenal,124,GK,0,0,11,1,0,48,0,0,1,90,7
Ayoze Pérez,Newcastle,124,FWD,8,6,8,3,0,28,1,0,0,0,15
Chris Smalling,Man Utd,123,DEF,4,0,11,4,0,24,0,0,0,0,9
Ben Foster,West Brom,123,GK,0,0,10,2,0,55,0,0,0,99,11
Kasper Schmeichel,Leicester,123,GK,0,0,8,3,0,47,1,0,2,93,17
Dusan Tadic,Southampton,122,MID,6,3,10,4,0,43,0,0,0,0,10
Álvaro Morata,Chelsea,122,FWD,11,6,11,7,0,19,0,0,0,0,13
Andros Townsend,Crystal Palace,121,MID,2,9,9,3,0,48,0,0,0,0,7
Fernando Luiz Rosa,Man City,120,MID,5,4,15,7,0,24,0,0,0,0,9
Aaron Cresswell,West Ham,118,DEF,1,7,10,7,0,60,0,0,0,0,10
Johann Berg Gudmundsson,Burnley,117,MID,2,9,10,2,0,33,0,0,0,0,7
Harry Maguire,Leicester,117,DEF,2,4,9,7,0,60,0,0,0,0,10
Matt Ritchie,Newcastle,116,MID,3,7,9,6,0,35,0,0,0,0,10
Phil Jones,Man Utd,116,DEF,0,0,15,2,0,11,1,0,0,0,19
Jamaal Lascelles,Newcastle,116,DEF,3,0,9,5,0,31,0,0,0,0,9
Antonio Rüdiger,Chelsea,115,DEF,2,1,12,4,0,22,0,0,0,0,8
Ahmed El-Sayed Hegazi,West Brom,114,DEF,2,0,10,4,0,55,0,0,0,0,11
Aaron Mooy,Huddersfield,113,MID,4,3,10,4,0,52,0,0,0,0,8
Kieran Trippier,Spurs,113,DEF,0,7,9,1,0,21,0,0,0,0,18
Wayne Rooney,Everton,113,FWD,10,3,7,5,0,33,0,3,0,0,20
Mesut Özil,Arsenal,112,MID,4,9,8,4,0,36,0,0,0,0,11
Alfie Mawson,Swansea,112,DEF,2,1,9,3,0,56,0,0,0,0,7
Bernardo Mota Veiga de Carvalho e Silva,Man City,112,MID,6,5,9,0,0,10,0,0,0,0,8
Asmir Begovic,Bournemouth,112,GK,0,0,6,2,0,61,0,0,1,111,6
Andrew Robertson,Liverpool,111,DEF,1,5,10,2,0,18,0,0,0,0,12
Glenn Murray,Brighton,111,FWD,12,0,8,9,0,36,0,2,0,0,16
Dejan Lovren,Liverpool,110,DEF,2,1,11,4,0,24,0,0,0,0,10
Joshua King,Bournemouth,110,FWD,8,4,7,3,0,38,0,0,0,0,10
Joe Allen,Stoke,109,MID,2,6,6,8,0,55,0,0,0,0,12
Shkodran Mustafi,Arsenal,109,DEF,3,1,10,6,0,30,0,0,0,0,13
Jay Rodriguez,West Brom,109,FWD,7,1,10,2,0,41,0,0,0,0,11
Granit Xhaka,Arsenal,109,MID,1,8,12,10,0,50,0,0,0,0,3
Jordan Ayew,Swansea,108,FWD,7,2,7,2,1,49,0,0,0,0,12
Sead Kolasinac,Arsenal,108,DEF,2,4,10,3,0,30,0,0,0,0,6
Mathias Jorgensen,Huddersfield,107,DEF,0,3,10,6,0,58,0,0,0,0,9
Henrikh Mkhitaryan,Arsenal,107,MID,3,9,12,2,0,17,0,0,0,0,9
Marc Albrighton,Leicester,107,MID,2,8,8,5,1,42,0,0,0,0,12
Davinson Sánchez,Spurs,107,DEF,0,0,13,1,1,21,1,0,0,0,8
Eric Maxim Choupo-Moting,Stoke,107,MID,5,5,5,3,0,45,0,0,0,0,9
Manuel Lanzini,West Ham,106,MID,5,7,6,4,0,44,0,1,0,0,11
Chris Wood,Burnley,104,FWD,10,1,10,1,0,11,0,0,0,0,20
Marcus Rashford,Man Utd,104,FWD,7,5,10,3,0,16,0,0,0,0,11
Philippe Coutinho,Liverpool,103,MID,7,7,5,0,0,14,0,0,0,0,15
Ryan Bertrand,Southampton,103,DEF,0,5,8,2,0,49,0,0,0,0,4
Salomón Rondón,West Brom,103,FWD,7,3,6,4,0,48,0,0,0,0,5
Christopher Schindler,Huddersfield,102,DEF,0,2,9,6,1,53,0,0,0,0,15
