Pos,Team,Points,Actual Pos,Difference,GK Points,DEF Points,MID Points,FWD Points,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
1,Arsenal,2203,2,⬆️ +1,155,739,1153,156,85,81,212,62,2,319,1,0,1,55,182
2,Man City,2071,1,⬇️ -1,134,660,902,375,94,82,150,51,2,374,1,1,0,77,205
3,Liverpool,1907,3, ,141,616,911,239,80,78,114,65,5,451,2,3,0,111,160
4,Newcastle,1784,7,⬆️ +3,133,553,855,243,83,68,116,76,1,682,1,1,1,135,132
5,Chelsea,1690,6,⬆️ +1,129,482,880,199,76,67,98,105,4,693,3,1,1,128,145
6,Aston Villa,1682,4,⬇️ -2,132,463,809,278,72,70,89,94,2,671,4,0,1,116,145
7,Spurs,1666,5,⬇️ -2,112,486,1005,63,69,66,87,88,4,671,3,0,0,110,147
8,Crystal Palace,1586,10,⬆️ +2,117,533,692,244,56,49,120,69,2,638,3,0,0,99,124
9,Fulham,1586,13,⬆️ +4,132,456,795,203,54,48,122,78,4,671,4,0,0,134,115
10,Man Utd,1569,8,⬇️ -2,133,455,841,140,57,46,101,80,1,638,1,1,0,149,115
11,Brentford,1516,16,⬆️ +5,123,458,674,261,54,50,101,89,2,715,0,0,0,121,103
12,Bournemouth,1497,12, ,131,422,608,336,52,46,109,79,3,737,1,1,1,131,112
13,Everton,1488,15,⬆️ +2,153,537,627,171,40,25,148,80,1,561,3,1,0,121,112
14,West Ham,1436,9,⬇️ -5,140,368,809,119,58,47,60,76,3,814,4,1,2,171,115
15,Brighton,1430,11,⬇️ -4,110,359,707,254,50,47,81,89,3,682,2,1,0,108,119
16,Nott'm Forest,1363,17,⬆️ +1,87,390,659,227,49,46,53,78,3,737,2,0,0,102,98
17,Wolves,1359,14,⬇️ -3,125,457,598,179,47,44,64,98,4,715,1,0,0,142,93
18,Luton,1260,18, ,87,346,431,396,49,47,27,71,0,935,4,0,0,146,83
19,Burnley,1206,19, ,117,299,537,253,40,35,34,71,7,858,3,0,1,170,78
20,Sheffield Utd,972,20, ,85,219,470,198,31,29,17,95,5,1144,7,0,0,170,49
