Pos,Team,Points,Actual Pos,Difference,GK Points,DEF Points,MID Points,FWD Points,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
1,Chelsea,2113,1, ,143,774,952,244,86,77,186,72,0,380,1,2,0,70,186
2,Spurs,2061,2, ,160,615,1007,279,84,77,186,62,0,286,1,2,0,85,171
3,Arsenal,1871,5,⬆️ +2,144,571,983,173,72,68,147,67,3,480,1,2,0,124,160
4,Liverpool,1863,4, ,142,394,1177,150,77,68,136,54,0,462,0,1,2,72,167
5,Man City,1855,3,⬇️ -2,137,498,926,294,75,76,139,71,4,429,1,2,2,64,182
6,Man Utd,1806,6, ,165,653,673,315,54,48,192,77,2,318,1,1,1,85,163
7,Everton,1726,7, ,157,641,630,298,58,58,140,69,2,477,1,1,2,97,144
8,West Ham,1608,11,⬆️ +3,133,437,908,130,53,46,117,82,5,763,0,1,1,117,141
9,Bournemouth,1499,9, ,131,448,749,171,50,48,111,53,3,720,5,3,2,124,126
10,Southampton,1489,8,⬇️ -2,134,488,710,157,39,35,145,57,2,507,0,3,1,76,115
11,Crystal Palace,1475,14,⬆️ +3,111,514,673,177,51,45,87,78,0,733,0,3,0,107,108
12,Stoke,1421,13,⬆️ +1,139,479,613,190,37,33,128,71,2,618,5,2,1,126,104
13,West Brom,1407,10,⬇️ -3,113,493,630,171,44,39,76,82,1,597,1,0,0,115,90
14,Leicester,1388,12,⬇️ -2,126,390,502,370,46,42,106,72,1,691,2,2,0,131,88
15,Burnley,1380,16,⬆️ +1,154,423,488,315,39,34,110,65,2,604,2,0,1,152,97
16,Swansea,1379,15,⬇️ -1,119,405,599,256,45,39,94,56,0,770,5,0,1,121,88
17,Middlesbrough,1352,19,⬆️ +2,138,468,508,238,27,26,119,79,1,607,0,0,0,116,102
18,Watford,1256,17,⬇️ -1,115,452,412,277,39,31,76,83,5,740,2,0,1,123,86
19,Sunderland,1098,20,⬆️ +1,136,324,375,263,25,20,69,79,4,725,2,0,0,176,70
20,Hull,1070,18,⬇️ -2,118,305,446,201,28,28,63,62,4,797,5,0,2,136,59
