Pos,Team,Points,Actual Pos,Difference,GK Points,DEF Points,MID Points,FWD Points,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
1,Liverpool,435,1, ,45,157,215,18,13,13,54,14,0,22,0,0,0,23,38
2,Arsenal,363,3,⬆️ +1,36,124,160,43,14,12,33,17,2,66,0,0,0,25,35
3,Chelsea,346,4,⬆️ +1,36,65,202,43,16,15,19,27,0,88,0,0,1,33,30
4,Spurs,330,9,⬆️ +5,21,96,190,23,13,13,21,18,0,88,0,0,0,15,22
5,Man City,329,2,⬇️ -3,21,88,153,67,17,13,10,17,0,88,1,0,0,16,38
6,Brighton,310,6, ,19,61,167,63,13,11,21,15,0,110,0,0,0,15,26
7,Man Utd,301,14,⬆️ +7,39,124,118,20,5,5,42,24,1,88,0,0,1,19,21
8,Aston Villa,300,5,⬇️ -3,20,85,127,68,12,11,15,14,0,99,0,0,0,17,27
9,Fulham,298,8,⬇️ -1,20,77,150,51,10,10,19,21,0,88,0,0,0,21,25
10,Newcastle,293,7,⬇️ -3,31,94,148,20,8,7,21,17,1,77,1,1,0,31,28
11,Brentford,278,11, ,19,59,172,28,13,12,3,12,0,143,1,0,0,33,22
12,Nott'm Forest,277,10,⬇️ -2,26,95,113,43,7,6,23,19,2,66,0,0,0,19,27
13,West Ham,264,12,⬇️ -1,17,70,134,43,9,9,11,16,0,121,0,0,0,18,18
14,Leicester,255,15,⬆️ +1,21,72,135,27,9,8,11,19,0,132,1,0,0,33,17
15,Bournemouth,243,13,⬇️ -2,20,51,149,23,8,7,8,19,0,110,0,1,0,31,11
16,Everton,232,16, ,25,53,105,49,7,6,12,12,1,165,0,0,1,20,18
17,Crystal Palace,216,18,⬆️ +1,21,85,78,32,4,5,11,15,0,110,0,0,0,22,10
18,Ipswich,212,17,⬇️ -1,21,56,99,36,6,4,8,20,0,154,0,0,0,24,14
19,Wolves,196,20,⬆️ +1,11,43,87,55,9,7,3,22,0,231,0,0,0,25,12
20,Southampton,175,19,⬇️ -1,18,49,86,22,4,3,2,21,1,165,0,1,0,29,5
