Pos,Team,Pts
1,Manchester City,89
2,Arsenal,84
3,Manchester United,75
4,Newcastle United,71
5,Liverpool,67
6,Brighton & Hove Albion,62
7,Aston Villa,61
8,Tottenham Hotspur,60
9,Brentford,59
10,Fulham,52
11,Crystal Palace,45
12,Chelsea,44
13,Wolverhampton Wanderers,41
14,West Ham United,40
15,Bournemouth,39
16,Nottingham Forest,38
17,Everton,36
18,Leicester City,34
19,Leeds United,31
20,Southampton,25
