Pos,Team,Pts
1,Manchester City,91
2,Arsenal,89
3,Liverpool,82
4,Aston Villa,68
5,Tottenham Hotspur,66
6,Chelsea,63
7,Newcastle United,60
8,Manchester United,60
9,West Ham United,52
10,Crystal Palace,49
11,Brighton & Hove Albion,48
12,Bournemouth,48
13,Fulham,47
14,Wolverhampton Wanderers,46
15,Everton,40
16,Brentford,39
17,Nottingham Forest,32
18,Luton Town,26
19,Burnley,24
20,Sheffield United,16
